#Date,JD(TCB),averagemag
2014-11-15 14:32:47,2456977.1061,19.52
2015-01-16 05:14:50,2457038.71863,19.57
2015-01-25 11:20:54,2457047.97285,19.76
2015-03-29 15:57:32,2457111.16495,19.5
2015-07-03 15:16:33,2457207.13649,19.72
2015-07-03 21:16:48,2457207.38667,19.65
2015-08-25 22:45:57,2457260.44858,19.97
2015-11-28 21:28:21,2457355.39469,19.8
2015-12-15 07:43:48,2457371.82208,19.04
2016-01-27 01:56:01,2457414.58057,19.46
2016-01-27 06:09:41,2457414.75672,19.63
2016-02-06 12:16:02,2457425.01113,20.13
2016-02-06 14:02:36,2457425.08514,19.94
2016-03-18 17:02:05,2457466.20978,19.8
2016-03-18 18:48:39,2457466.28378,19.35
2016-04-11 16:56:53,2457490.20617,19.69
2016-05-14 00:23:17,2457522.51617,19.55
2016-05-14 04:36:58,2457522.69234,19.8
2016-07-17 00:15:37,2457586.51084,19.41
2016-07-17 04:29:17,2457586.687,19.59
2016-07-17 06:15:51,2457586.76101,19.29
2016-09-06 10:09:21,2457637.92316,19.35
2016-09-06 11:55:55,2457637.99716,19.34
2016-10-04 23:46:37,2457666.49071,19.3
2016-11-02 15:41:12,2457695.15361,16.41
2016-11-02 17:27:46,2457695.22762,16.37
2016-12-10 22:23:30,2457733.43299,19.56
2016-12-24 14:41:29,2457747.11214,19.44
2017-02-05 14:51:49,2457790.11932,19.57
2017-02-05 19:05:29,2457790.29547,19.69
2017-02-18 02:34:19,2457802.60716,19.52
2017-03-29 19:30:17,2457842.3127,19.28
2017-04-26 01:19:59,2457869.55554,18.62
2017-05-26 07:10:10,2457899.79873,19.56
2017-05-26 08:56:45,2457899.87274,19.72
2017-07-14 12:52:25,2457949.0364,19.57
2017-07-14 18:52:40,2457949.28657,19.37
2017-07-15 02:39:28,2457949.61074,19.51
2017-08-02 08:51:19,2457967.86897,16.94
2017-08-02 13:04:59,2457968.04513,17.07
2017-08-02 14:51:33,2457968.11913,17.27
2017-08-02 19:05:13,2457968.29529,17.5
2017-09-18 12:41:01,2458015.02848,19.5
2017-09-18 14:27:35,2458015.10249,19.39
2017-10-19 08:07:51,2458045.83878,19.27
2017-11-13 18:08:18,2458071.25576,19.61
2017-11-13 19:54:51,2458071.32976,19.46
2017-12-23 16:54:24,2458111.20444,19.49
2018-01-03 23:00:01,2458122.45834,19.73
2018-02-16 05:12:02,2458165.71669,19.79
2018-06-07 22:08:07,2458277.4223,18.26
2018-07-30 03:52:00,2458329.66111,19.3
2018-07-30 08:05:40,2458329.83727,19.31
2018-07-30 09:52:14,2458329.91127,19.36
2018-08-19 16:02:48,2458350.16861,15.92
2018-08-19 20:16:28,2458350.34477,16.05
2018-08-19 22:03:02,2458350.41877,16.1
2018-11-02 07:18:40,2458424.80463,19.59
2018-11-24 13:11:22,2458447.04956,18.7
2019-01-04 19:35:24,2458488.31625,19.6
2019-01-04 23:49:03,2458488.4924,19.3
2019-01-14 11:54:51,2458497.99642,19.36
2019-01-14 13:41:26,2458498.07044,19.34
2019-02-26 12:11:31,2458541.008,19.14
2019-02-26 16:25:11,2458541.18416,19.13
2019-04-21 15:45:52,2458595.15685,19.44
2019-05-26 11:13:28,2458629.96769,19.79
2019-06-20 15:33:12,2458655.14806,19.25
2019-06-20 17:19:46,2458655.22206,19.32
2019-07-17 18:40:49,2458682.27834,19.33
2019-09-01 01:47:19,2458727.57453,19.04
2019-09-19 14:19:08,2458746.09662,17.0
2019-09-19 16:05:42,2458746.17063,16.84
2019-10-25 16:08:59,2458782.17291,19.29
2019-10-25 17:55:32,2458782.2469,19.39
2019-12-22 00:12:56,2458839.50898,19.05
2019-12-22 01:59:30,2458839.58299,19.09
2020-03-03 20:44:34,2458912.36428,19.01
2020-03-03 22:31:08,2458912.43829,19.22
2020-05-14 13:56:20,2458984.08079,19.25
2020-06-03 14:35:14,2459004.1078,18.87
2020-07-18 15:41:28,2459049.1538,16.25
2020-07-18 17:28:02,2459049.2278,16.26
2020-07-18 21:41:42,2459049.40396,16.42
2020-07-18 23:28:16,2459049.47796,16.52
2020-07-28 17:40:13,2459059.23626,19.32
2020-07-28 21:53:53,2459059.41242,19.05
2020-07-31 03:51:15,2459061.66059,19.38
2020-08-20 20:15:14,2459082.34391,19.03
2020-08-20 22:01:48,2459082.41792,18.92
2020-08-21 02:15:27,2459082.59406,19.12
2020-11-03 01:16:18,2459156.55299,19.31
2020-11-25 01:09:33,2459178.5483,18.94
2020-11-25 02:56:07,2459178.6223,19.21
2021-01-05 11:46:25,2459219.99057,19.44
2021-01-14 23:52:19,2459229.49466,16.71
2021-04-22 03:44:35,2459326.65596,18.97
2021-04-22 05:31:10,2459326.72998,19.25
2021-06-21 05:18:38,2459386.72127,19.32
2021-06-21 09:32:18,2459386.89743,19.46
2021-06-21 11:18:52,2459386.97144,19.29
2021-08-13 21:16:18,2459440.38632,19.54
2021-08-13 23:02:52,2459440.46032,19.47
2021-09-06 15:22:38,2459464.14072,19.77
2021-10-12 22:42:33,2459500.44622,19.5
2021-12-05 14:10:48,2459554.09083,19.48
2021-12-05 15:57:22,2459554.16484,19.34
2022-01-17 00:40:56,2459596.52843,19.24
2022-01-17 02:27:30,2459596.60243,19.41
2022-01-26 06:47:00,2459605.78264,19.72
2022-03-30 17:24:02,2459669.22502,19.58
2022-05-03 22:54:07,2459703.45425,19.47
2022-05-04 00:40:42,2459703.52826,19.41
2022-06-12 16:33:13,2459743.18973,19.53
2022-06-12 18:19:47,2459743.26374,19.48
2022-07-04 16:44:18,2459765.19743,19.56
2022-07-04 18:30:52,2459765.27144,19.77
2022-08-26 16:26:49,2459818.18529,19.42
2022-08-26 18:13:23,2459818.25929,19.58
2022-08-26 22:27:03,2459818.43545,19.31
2022-09-22 04:26:02,2459844.68475,19.53
