#Date,JD(TCB),averagemag
2016-01-19 11:31:03,2457406.9799,19.96
2016-02-03 17:37:12,2457422.23417,19.88
2016-02-03 19:23:46,2457422.30817,19.96
2016-04-19 10:37:44,2457497.94287,20.06
2016-04-19 16:38:00,2457498.19306,20.07
2016-04-19 18:24:35,2457498.26707,20.13
2016-04-19 22:38:16,2457498.44324,20.11
2016-07-14 00:52:03,2457583.53615,19.81
2016-07-31 18:59:45,2457601.29149,19.99
2016-07-31 23:13:24,2457601.46764,19.93
2016-10-25 21:56:05,2457687.41395,20.02
2017-01-27 20:20:13,2457781.34737,20.02
2017-07-24 07:36:43,2457958.81716,19.89
2018-08-04 08:46:02,2458334.8653,20.06
2018-08-04 10:32:36,2458334.93931,19.87
2020-07-23 06:11:20,2459053.75787,18.42
2020-07-23 10:24:59,2459053.93402,18.3
2020-08-04 20:44:51,2459066.36448,18.42
2020-08-04 22:31:25,2459066.43848,18.46
2021-04-11 21:56:04,2459316.41394,18.11
2021-04-11 23:42:39,2459316.48795,18.13
2021-08-16 05:40:40,2459442.73657,19.96
2022-01-21 06:05:57,2459600.75413,19.86
2022-01-21 07:52:31,2459600.82814,19.84
2022-01-21 12:06:12,2459601.00431,19.81
2022-04-03 10:56:38,2459672.956,17.73
2022-04-03 12:43:12,2459673.03,17.73
