#Date,JD(TCB),averagemag
2015-01-09 18:18:33,2457032.26288,14.2
2015-01-09 22:32:14,2457032.43905,14.22
2015-01-21 04:39:36,2457043.69417,14.22
2015-01-21 06:26:10,2457043.76817,14.2
2015-04-03 05:17:42,2457115.72063,14.18
2015-04-21 03:41:27,2457133.65378,14.22
2015-04-21 05:28:02,2457133.7278,14.2
2015-04-21 09:41:43,2457133.90397,14.21
2015-07-05 03:58:35,2457208.66568,14.24
2015-07-05 05:45:09,2457208.73969,14.22
2015-07-05 11:45:22,2457208.98984,14.23
2015-07-05 15:59:01,2457209.16598,14.24
2015-07-05 17:45:35,2457209.23999,14.22
2015-07-05 23:45:48,2457209.49014,14.22
2015-07-14 05:52:12,2457217.74458,14.23
2015-07-14 10:05:51,2457217.92073,14.24
2015-07-14 11:52:25,2457217.99473,14.23
2015-07-14 16:06:04,2457218.17088,14.23
2015-07-14 17:52:38,2457218.24488,14.23
2015-07-14 22:06:17,2457218.42103,14.24
2015-08-26 03:35:45,2457260.64983,14.24
2015-08-26 05:22:19,2457260.72383,14.23
2015-09-30 22:39:05,2457296.44381,14.23
2015-10-01 02:52:44,2457296.61995,14.24
2015-10-17 02:55:39,2457312.62198,14.23
2015-10-17 04:42:13,2457312.69598,14.23
2016-01-18 17:31:57,2457406.23052,14.23
2016-02-04 07:23:22,2457422.80789,14.23
2016-03-09 06:49:56,2457456.78468,14.23
2016-04-22 04:42:22,2457500.69609,14.24
2016-04-22 10:42:38,2457500.94627,14.24
2016-04-22 12:29:13,2457501.02029,14.25
2016-04-22 16:42:54,2457501.19646,14.25
2016-04-22 22:43:09,2457501.44663,14.24
2016-04-23 00:29:44,2457501.52065,14.25
2016-04-23 06:29:59,2457501.77082,14.25
2016-04-23 10:43:40,2457501.94699,14.24
2016-04-23 12:30:14,2457502.021,14.25
2016-04-23 16:43:55,2457502.19716,14.23
2016-04-23 18:30:29,2457502.27117,14.24
2016-04-23 22:44:10,2457502.44734,14.23
2016-04-24 00:30:45,2457502.52135,14.25
2016-04-24 04:44:25,2457502.69751,14.24
2016-04-24 06:31:00,2457502.77153,14.25
2016-04-24 10:44:41,2457502.9477,14.23
2016-04-24 12:31:15,2457503.0217,14.25
2016-04-24 16:44:56,2457503.19787,14.24
2016-04-24 18:31:30,2457503.27188,14.25
2016-04-24 22:45:11,2457503.44804,14.24
2016-04-25 00:31:45,2457503.52205,14.23
2016-04-25 04:45:26,2457503.69822,14.24
2016-04-25 06:32:00,2457503.77222,14.25
2016-04-25 12:32:16,2457504.02241,14.25
2016-04-25 16:45:56,2457504.19856,14.24
2016-04-25 18:32:31,2457504.27258,14.25
2016-04-25 22:46:12,2457504.44875,14.25
2016-04-26 06:33:01,2457504.77293,14.25
2016-04-26 10:46:42,2457504.9491,14.24
2016-04-26 12:33:17,2457505.02311,14.25
2016-04-26 16:46:58,2457505.19928,14.25
2016-04-26 22:47:13,2457505.44946,14.24
2018-02-06 10:50:33,2458155.95177,14.24
2018-03-03 16:42:27,2458181.19615,14.23
2018-03-31 08:48:28,2458208.86699,14.24
2018-03-31 10:35:02,2458208.941,14.23
2018-08-03 14:46:22,2458334.11553,14.24
2018-08-03 16:32:56,2458334.18954,14.25
2018-09-27 08:19:07,2458388.84661,14.23
2019-01-03 06:53:27,2458486.78712,14.26
2019-01-03 11:07:08,2458486.96329,14.25
2019-01-03 12:53:43,2458487.0373,14.25
2019-01-03 17:07:24,2458487.21347,14.25
2019-01-03 23:07:39,2458487.46365,14.24
2019-01-04 00:54:13,2458487.53765,14.24
2019-01-04 05:07:54,2458487.71382,14.28
2019-01-04 06:54:29,2458487.78784,14.24
2019-01-04 11:08:09,2458487.96399,14.26
2019-01-04 12:54:44,2458488.03801,14.24
2019-01-04 17:08:24,2458488.21417,14.28
2019-01-04 18:54:59,2458488.28818,14.24
2019-01-04 23:08:40,2458488.46435,14.25
2019-01-05 05:08:55,2458488.71453,14.26
2019-01-05 06:55:30,2458488.78854,14.25
2019-01-05 11:09:10,2458488.9647,14.26
2019-01-05 12:55:45,2458489.03872,14.24
2019-01-05 18:56:01,2458489.2889,14.27
2019-02-16 22:12:09,2458531.4251,14.27
2019-02-16 23:58:43,2458531.49911,14.25
2019-03-18 11:42:53,2458560.98811,14.25
2019-04-11 05:46:15,2458584.74045,14.25
2019-04-11 09:59:56,2458584.91662,14.24
2019-08-22 01:41:00,2458717.57014,14.24
2019-08-22 03:27:34,2458717.64414,14.26
2019-09-21 22:41:19,2458748.44536,14.25
2019-10-15 09:35:17,2458771.8995,14.25
2019-10-15 11:21:51,2458771.97351,14.25
2020-03-14 15:03:38,2458923.12752,14.14
2020-03-14 16:50:13,2458923.20154,14.15
2020-04-03 23:31:50,2458943.48044,14.12
2020-04-04 03:45:31,2458943.65661,14.12
2020-07-11 17:57:41,2459042.24839,14.0
2020-07-11 22:11:20,2459042.42454,14.01
2020-07-11 23:57:54,2459042.49854,14.01
2020-07-24 06:13:12,2459054.75917,13.99
2020-07-24 10:26:51,2459054.93531,14.01
2020-08-04 02:45:10,2459065.6147,13.98
2020-08-04 04:31:44,2459065.6887,14.0
2020-09-02 20:28:23,2459095.35304,13.99
2021-01-03 05:03:57,2459217.71108,13.96
2021-01-03 06:50:31,2459217.78508,13.95
2021-01-03 11:04:12,2459217.96125,13.96
2021-01-03 12:50:47,2459218.03527,13.95
2021-01-03 17:04:27,2459218.21142,13.95
2021-01-06 05:06:53,2459220.71311,13.95
2021-01-06 11:07:08,2459220.96329,13.96
2021-01-06 12:53:43,2459221.0373,13.95
2021-01-06 17:07:23,2459221.21346,13.95
2021-01-06 18:53:58,2459221.28748,13.95
2021-01-06 23:07:39,2459221.46365,13.95
2021-01-07 00:54:13,2459221.53765,13.97
2021-02-17 10:11:00,2459262.92431,13.97
2021-02-17 11:57:35,2459262.99832,13.95
2021-03-19 11:41:08,2459292.9869,13.96
2021-04-11 15:58:42,2459316.16576,13.97
2021-04-11 21:58:58,2459316.41595,13.96
2021-08-15 15:54:31,2459442.16286,13.98
2021-08-15 17:41:05,2459442.23686,14.01
2021-09-17 15:23:58,2459475.14164,13.99
2021-10-07 23:07:37,2459495.46362,14.01
2022-01-10 07:45:00,2459589.82292,14.02
2022-01-10 11:58:41,2459589.99909,14.03
2022-01-22 06:05:58,2459601.75414,14.04
2022-01-22 07:52:33,2459601.82816,14.04
2022-02-28 05:20:41,2459638.7227,14.03
2022-04-04 10:58:18,2459673.95715,14.05
