#Date,JD(TCB),averagemag
2014-10-31 02:24:45,2456961.60052,16.73
2014-10-31 06:38:25,2456961.77668,16.76
2015-01-09 18:04:44,2457032.25329,16.76
2015-02-08 17:43:04,2457062.23824,16.82
2015-02-08 19:29:38,2457062.31225,16.83
2015-03-16 18:37:42,2457098.27618,16.81
2015-04-04 22:50:35,2457117.45179,16.81
2015-05-16 23:16:38,2457159.46988,16.77
2015-06-02 09:34:40,2457175.89907,16.7
2015-06-02 11:21:15,2457175.97309,16.7
2015-07-13 08:32:16,2457216.85574,16.63
2015-09-10 14:04:45,2457276.08663,16.61
2015-09-10 15:51:19,2457276.16064,16.6
2015-10-20 01:42:34,2457315.57123,16.65
2015-11-14 01:47:51,2457340.5749,16.73
2015-11-14 03:34:25,2457340.6489,16.72
2015-11-14 07:48:05,2457340.82506,16.74
2015-12-25 01:21:50,2457381.55683,16.79
2015-12-25 03:08:24,2457381.63083,16.79
2016-01-23 13:05:24,2457411.04542,16.76
2016-01-23 14:51:58,2457411.11942,16.74
2016-02-20 02:34:28,2457438.60727,16.63
2016-03-28 19:34:29,2457476.31561,16.66
2016-04-15 07:36:21,2457493.81691,16.74
2017-11-16 23:23:54,2458074.47493,16.85
2017-11-17 01:10:29,2458074.54895,16.82
2017-12-12 07:12:33,2458099.80038,16.85
2018-01-16 22:59:31,2458135.458,16.8
2018-03-13 18:03:46,2458191.25262,16.8
2018-04-23 03:03:57,2458231.62774,16.69
2018-06-20 01:53:12,2458289.57861,16.69
2018-06-20 03:39:46,2458289.65262,16.66
2018-07-11 19:52:47,2458311.32832,16.71
2018-07-11 21:39:22,2458311.40234,16.75
2018-08-17 07:15:33,2458347.80247,16.77
2018-08-17 09:02:07,2458347.87647,16.75
2018-09-20 12:57:00,2458382.03958,16.81
2018-09-20 14:43:34,2458382.11359,16.81
2018-10-17 20:43:24,2458409.36347,16.76
2018-10-18 00:57:05,2458409.53964,16.76
2018-11-30 06:33:12,2458452.77306,16.76
2018-11-30 08:19:46,2458452.84706,16.76
2018-12-26 18:30:47,2458479.27138,16.78
2018-12-26 20:17:21,2458479.34538,16.77
2019-01-28 12:05:59,2458512.00416,16.83
2019-01-28 13:52:33,2458512.07816,16.81
2019-03-03 23:22:57,2458546.47427,16.85
2019-03-04 01:09:31,2458546.54828,16.82
2019-03-24 23:18:52,2458567.47144,16.8
2019-05-05 05:47:28,2458608.7413,16.83
2019-05-05 10:01:08,2458608.91745,16.83
2019-05-20 23:52:18,2458624.49465,16.86
2019-07-01 20:56:24,2458666.3725,16.84
2019-09-06 20:47:03,2458733.36601,16.77
2019-09-28 03:30:47,2458754.64638,16.8
2019-11-23 04:44:46,2458810.69775,16.82
2019-11-23 06:31:20,2458810.77176,16.8
2020-01-01 08:57:03,2458849.87295,16.82
2020-02-25 21:30:44,2458905.39634,16.69
2020-02-25 23:17:18,2458905.47035,16.71
2020-04-02 05:01:19,2458941.70925,16.68
2020-04-02 06:47:53,2458941.78325,16.69
2020-04-28 11:46:53,2458967.99089,16.63
2020-04-28 13:33:27,2458968.0649,16.63
2020-06-12 01:34:21,2459012.56552,16.59
2020-06-12 03:20:56,2459012.63954,16.58
2020-07-12 02:38:44,2459042.61023,16.66
2020-08-17 21:00:44,2459079.37551,16.49
2020-08-18 01:14:25,2459079.55168,16.48
2020-09-21 06:55:20,2459113.78843,16.41
2020-09-21 08:41:55,2459113.86244,16.42
2020-10-18 14:42:19,2459141.11272,16.43
2020-10-18 18:55:59,2459141.28888,16.41
2020-12-01 00:32:02,2459184.52225,16.45
2020-12-01 02:18:36,2459184.59625,16.47
2020-12-27 12:28:59,2459211.02013,16.47
2021-01-29 00:04:26,2459243.50308,16.51
2021-01-29 01:51:00,2459243.57708,16.52
2021-03-04 17:20:39,2459278.22267,16.55
2021-03-25 11:16:52,2459298.97005,16.61
2021-03-25 13:03:26,2459299.04405,16.62
2021-05-05 21:58:44,2459340.41579,16.6
2021-05-05 23:45:18,2459340.48979,16.62
2021-05-21 16:03:32,2459356.16912,16.7
2021-05-21 17:50:06,2459356.24313,16.66
2021-07-02 08:54:38,2459397.87127,16.74
2021-07-02 10:41:12,2459397.94528,16.71
2021-07-26 14:50:39,2459422.11851,16.71
2021-08-30 04:09:31,2459456.67328,16.73
2021-10-06 08:06:37,2459493.83793,16.72
2021-10-06 09:53:11,2459493.91193,16.72
2021-11-01 03:52:18,2459519.66132,16.63
2021-11-01 08:05:59,2459519.83749,16.64
2021-12-13 13:40:46,2459562.06998,16.63
2021-12-13 15:27:20,2459562.14398,16.61
2022-01-10 19:31:30,2459590.31354,16.58
2022-02-09 13:10:10,2459620.04873,16.6
2022-02-09 14:56:44,2459620.12273,16.59
2022-03-17 18:17:31,2459656.26216,16.6
2022-03-17 20:04:05,2459656.33617,16.57
2022-04-05 20:03:44,2459675.33593,16.6
2022-05-17 18:43:01,2459717.27987,16.69
2022-05-17 22:56:41,2459717.45603,16.66
2022-06-03 11:01:09,2459733.95913,16.58
2022-06-03 12:47:44,2459734.03315,16.61
2022-07-14 03:59:19,2459774.66619,16.64
2022-07-14 05:45:54,2459774.74021,16.62
2022-08-09 17:37:55,2459801.23466,16.69
2022-09-11 11:18:43,2459833.97133,16.8
2022-09-11 15:32:24,2459834.1475,16.79
2022-10-21 09:10:09,2459873.88205,16.9
2022-10-21 10:56:43,2459873.95605,16.88
