#Date,JD(TCB),averagemag
2015-03-25 09:09:21,2457106.88149,15.47
2015-04-19 04:53:05,2457131.70353,15.42
2015-09-03 09:48:45,2457268.90885,15.51
2015-09-03 11:35:19,2457268.98286,15.52
2015-10-02 21:27:32,2457298.39412,15.52
2015-10-24 21:22:18,2457320.39049,15.5
2015-10-24 23:08:51,2457320.46448,15.51
2016-03-08 04:27:57,2457455.68608,15.48
2016-03-08 06:14:32,2457455.76009,15.52
2016-04-08 10:08:33,2457486.9226,15.5
2016-04-08 11:55:08,2457486.99662,15.51
2016-09-13 04:57:21,2457644.70649,15.48
2016-09-13 06:43:54,2457644.78049,15.48
2016-10-17 00:08:50,2457678.50613,15.49
2016-11-01 22:26:11,2457694.43485,15.49
2016-11-02 00:12:45,2457694.50885,15.48
2017-02-03 13:58:59,2457788.08263,15.49
2017-02-03 19:59:15,2457788.33281,15.48
2017-02-04 00:12:56,2457788.50898,15.46
2017-02-04 01:59:31,2457788.583,15.49
2017-02-04 06:13:12,2457788.75917,15.48
2017-02-04 07:59:47,2457788.83318,15.47
2017-02-04 18:13:44,2457789.25954,15.47
2017-02-04 20:00:19,2457789.33355,15.5
2017-02-05 00:14:00,2457789.50972,15.47
2017-02-05 02:00:35,2457789.58374,15.47
2017-02-05 06:14:16,2457789.75991,15.49
2017-02-05 08:00:51,2457789.83392,15.48
2017-02-05 12:14:32,2457790.01009,15.44
2017-02-05 14:01:07,2457790.08411,15.46
2017-02-05 20:01:23,2457790.33429,15.47
2017-03-18 19:01:39,2457831.29281,15.48
2017-03-18 20:48:14,2457831.36683,15.48
2017-04-25 06:33:26,2457868.77322,15.48
2017-05-05 08:28:36,2457878.85319,15.47
2017-05-05 14:28:52,2457879.10338,15.49
2017-05-05 18:42:33,2457879.27955,15.48
2017-08-16 02:07:02,2457981.58822,15.49
2017-08-16 03:53:36,2457981.66222,15.49
2017-09-24 01:28:32,2458020.56148,15.48
2017-09-24 03:15:05,2458020.63547,15.47
2017-11-03 02:29:13,2458060.60362,15.5
2017-11-03 06:42:52,2458060.77977,15.48
2017-11-03 08:29:25,2458060.85376,15.49
2017-11-03 12:43:04,2458061.02991,15.5
2017-11-03 14:29:38,2458061.10391,15.5
2017-11-03 18:43:17,2458061.28006,15.49
2017-11-07 12:46:13,2458065.03209,15.49
2017-11-07 18:46:25,2458065.28223,15.48
2017-11-07 20:32:59,2458065.35624,15.5
2017-11-08 00:46:38,2458065.53238,15.48
2017-11-08 02:33:12,2458065.60639,15.48
2018-02-08 16:18:59,2458158.17985,15.48
2018-02-08 20:32:40,2458158.35602,15.48
2018-03-29 09:59:37,2458206.9164,15.52
2018-08-14 15:02:59,2458345.12707,15.5
2018-09-02 15:06:02,2458364.12919,15.51
2018-10-04 20:36:57,2458396.35899,15.49
2019-02-17 11:24:26,2458531.9753,15.51
2019-08-22 14:16:17,2458718.09464,15.49
2019-08-22 16:02:51,2458718.16865,15.49
2019-09-13 22:43:41,2458740.447,15.49
2019-09-14 02:57:19,2458740.62314,15.49
2020-02-20 15:21:59,2458900.14027,15.49
2020-02-20 19:35:40,2458900.31644,15.5
2020-03-16 02:31:14,2458924.60502,15.48
2020-04-11 17:24:28,2458951.22532,15.51
2020-04-11 21:38:09,2458951.40149,15.48
2020-08-14 21:01:21,2459076.37594,15.46
2020-09-03 10:50:03,2459095.95142,15.42
2020-09-03 15:03:41,2459096.12756,15.41
2020-10-05 08:35:42,2459127.85813,15.23
2020-10-05 10:22:15,2459127.93212,15.23
2021-02-17 21:36:41,2459263.40047,15.5
2021-03-11 17:23:47,2459285.22485,15.49
2021-04-09 15:23:39,2459314.14142,15.49
2021-08-24 17:54:36,2459451.24625,15.47
2021-09-18 21:58:58,2459476.41595,15.48
2021-09-18 23:45:32,2459476.48995,15.48
2021-10-15 17:29:46,2459503.229,15.47
2022-02-27 16:45:23,2459638.19818,15.5
2022-03-26 10:35:46,2459664.9415,15.49
2022-03-26 12:22:21,2459665.01552,15.46
2022-04-20 00:20:44,2459689.5144,15.48
2022-09-04 07:02:45,2459826.79358,15.49
2022-10-03 22:53:35,2459856.45388,15.48
2022-10-04 00:40:09,2459856.52788,15.48
2022-10-25 16:49:34,2459878.20109,15.52
