#Date,JD(TCB),averagemag
2014-10-29 16:49:08,2456960.20079,18.09
2014-10-29 18:35:43,2456960.2748,18.09
2014-11-19 10:51:46,2456980.95262,17.28
2014-11-19 12:38:21,2456981.02663,17.24
2015-05-25 05:16:54,2457167.72007,19.23
2015-05-25 07:03:28,2457167.79407,19.16
2015-11-08 11:57:57,2457334.99858,19.81
2016-05-10 08:18:30,2457518.84618,19.25
2016-06-08 13:58:15,2457548.08212,19.56
2016-11-17 14:54:42,2457710.12132,18.91
2016-12-17 18:48:45,2457740.28385,19.15
2016-12-17 20:35:20,2457740.35787,19.25
2017-01-05 18:53:41,2457759.28728,19.08
2017-01-05 20:40:16,2457759.3613,19.14
2017-06-24 10:16:24,2457928.92806,20.08
2017-06-24 14:30:02,2457929.10419,19.98
2017-07-11 08:34:37,2457945.85737,20.17
2017-07-11 10:21:11,2457945.93138,20.29
2017-11-27 23:28:16,2458085.47796,19.15
2017-11-28 03:41:57,2458085.65413,19.1
2018-01-02 09:11:41,2458120.88311,19.75
2018-01-02 10:58:16,2458120.95713,19.67
2018-01-02 15:11:57,2458121.1333,19.52
2018-01-13 11:06:51,2458131.96309,19.57
2018-01-13 15:20:32,2458132.13926,19.82
2018-04-14 10:46:03,2458222.94865,19.5
2018-04-14 12:32:37,2458223.02265,19.45
2018-04-14 16:46:16,2458223.1988,19.22
2018-04-14 18:32:50,2458223.2728,19.16
2018-04-15 00:33:02,2458223.52294,19.2
2018-05-31 23:58:16,2458270.4988,18.21
2018-07-12 23:16:04,2458312.46949,18.8
2018-07-13 03:29:43,2458312.64564,18.79
2018-07-13 05:16:17,2458312.71964,18.82
2018-07-13 09:29:56,2458312.89579,18.85
2018-07-13 11:16:30,2458312.96979,18.82
2018-07-13 15:30:08,2458313.14593,18.84
2018-07-13 17:16:42,2458313.21993,18.83
2018-07-13 21:30:21,2458313.39608,18.83
2018-07-14 03:30:33,2458313.64622,18.77
2018-07-16 03:32:10,2458315.64734,18.41
2018-07-16 09:32:23,2458315.89749,18.46
2018-07-16 11:18:56,2458315.97148,18.49
2018-07-16 15:32:35,2458316.14763,18.45
2018-07-16 17:19:09,2458316.22163,18.49
2018-07-16 23:19:21,2458316.47177,18.38
2018-07-17 03:33:00,2458316.64792,18.26
2018-07-17 05:19:34,2458316.72192,18.25
2018-07-17 11:19:47,2458316.97207,18.29
2018-10-21 06:58:45,2458412.7908,18.52
2018-10-21 11:12:27,2458412.96698,18.48
2018-10-21 12:59:01,2458413.04098,18.49
2018-11-04 11:21:04,2458426.97296,18.6
2018-11-04 13:07:38,2458427.04697,18.59
2018-12-08 12:39:43,2458461.02758,19.01
2019-04-21 17:47:21,2458595.24122,18.43
2019-04-21 19:33:55,2458595.31522,18.36
2019-06-11 23:20:32,2458646.47259,18.22
2019-06-12 01:07:05,2458646.54659,18.41
2019-10-25 14:07:51,2458782.08878,19.34
2019-11-12 20:40:34,2458800.3615,18.95
2019-12-13 22:09:47,2458831.42346,20.08
2020-06-18 03:23:20,2459018.6412,18.97
2020-10-21 17:10:47,2459144.21582,17.93
2020-11-05 11:19:09,2459158.97163,18.43
2020-11-05 13:05:43,2459159.04564,18.47
2020-12-08 22:52:13,2459192.45293,17.51
2020-12-09 00:38:48,2459192.52694,17.46
2021-04-22 01:32:17,2459326.56409,17.72
2021-05-10 19:34:22,2459345.31553,17.73
2021-05-10 23:48:01,2459345.49168,17.95
2021-06-12 11:19:19,2459377.97175,18.81
2021-06-12 13:05:53,2459378.04575,18.82
2021-10-30 08:03:04,2459517.83546,17.43
2021-12-19 06:03:11,2459567.75221,18.84
2022-05-01 12:51:41,2459701.03589,19.14
2022-05-01 14:38:14,2459701.10988,18.99
2022-05-26 12:43:18,2459726.03007,19.6
2022-06-23 06:27:31,2459753.76911,18.62
2022-06-23 08:14:04,2459753.8431,18.61
