#Date,JD(TCB),averagemag
2015-01-06 10:40:02,2457028.94447,19.55
2015-01-06 12:26:36,2457029.01847,19.6
2015-04-23 23:44:42,2457136.48938,20.49
2015-04-24 05:44:56,2457136.73954,20.47
2015-04-24 09:58:37,2457136.91571,20.21
2015-07-19 05:43:10,2457222.73831,20.37
2015-07-19 09:56:49,2457222.91446,20.45
2015-09-29 20:36:51,2457295.35892,18.64
2015-09-29 22:23:25,2457295.43293,18.67
2015-10-14 04:28:08,2457309.6862,20.55
2016-01-16 13:30:03,2457404.06253,20.51
2016-02-07 19:26:30,2457426.31007,20.84
2016-07-06 18:49:20,2457576.28426,20.33
2016-08-03 00:43:45,2457603.53038,18.88
2016-08-03 04:57:24,2457603.70653,18.89
2016-09-01 22:38:13,2457633.44321,20.32
2016-09-02 00:24:47,2457633.51721,20.3
2016-10-12 21:31:48,2457674.39708,20.55
2016-10-12 23:18:22,2457674.47109,20.3
2016-10-22 15:37:43,2457684.15119,18.79
2016-10-22 17:24:17,2457684.2252,18.74
2016-12-09 03:38:45,2457731.65191,20.37
2016-12-09 07:52:26,2457731.82808,20.26
2016-12-09 13:52:41,2457732.07825,20.13
2016-12-15 07:57:35,2457737.83166,20.31
2016-12-15 09:44:10,2457737.90567,20.38
2016-12-15 13:57:50,2457738.08183,20.07
2017-01-26 02:35:51,2457779.60823,19.0
2017-02-20 20:01:53,2457805.33464,20.54
2017-03-21 07:53:14,2457833.82863,19.49
2017-07-18 13:34:58,2457953.06595,20.37
2017-07-18 15:21:31,2457953.13994,20.43
2017-08-18 03:04:28,2457983.6281,19.39
2017-09-13 02:52:32,2458009.61981,20.24
2017-10-27 01:35:57,2458053.56663,20.35
2017-10-27 05:49:37,2458053.74279,20.3
2017-10-27 07:36:11,2458053.81679,20.33
2017-10-31 13:39:46,2458058.06928,20.35
2017-12-18 11:56:17,2458105.99742,20.24
2017-12-29 04:16:31,2458116.67814,20.68
2018-02-05 21:19:21,2458155.38844,19.93
2018-03-07 09:03:04,2458184.87713,20.2
2018-03-07 10:49:39,2458184.95115,19.93
2018-06-03 09:00:59,2458272.87568,19.98
2018-06-03 16:47:47,2458273.19985,19.94
2018-06-03 21:01:27,2458273.37601,19.73
2018-06-03 22:48:01,2458273.45001,19.87
2018-06-04 03:01:41,2458273.62617,19.79
2018-06-04 09:01:55,2458273.87633,19.7
2018-06-04 10:48:29,2458273.95034,19.78
2018-06-04 15:02:08,2458274.12648,19.65
2018-06-04 16:48:42,2458274.20049,19.71
2018-06-04 22:48:56,2458274.45065,19.88
2018-06-10 22:54:05,2458280.45422,19.89
2018-06-11 04:54:19,2458280.70439,19.8
2018-06-11 09:07:58,2458280.88053,19.94
2018-06-11 10:54:32,2458280.95454,20.04
2018-06-11 15:08:12,2458281.13069,20.0
2018-06-11 16:54:46,2458281.2047,20.01
2018-06-11 21:08:25,2458281.38084,20.0
2018-06-11 22:54:59,2458281.45485,19.83
2018-06-12 03:08:39,2458281.63101,19.66
2018-07-30 10:30:38,2458329.93794,19.9
2018-09-23 20:09:34,2458385.33998,19.93
2018-09-23 21:56:07,2458385.41397,20.14
2018-12-27 23:07:46,2458480.46373,20.09
2019-01-11 17:13:10,2458495.21748,19.59
2019-01-11 18:59:44,2458495.29148,19.64
2019-02-16 18:14:34,2458531.26012,19.37
2019-03-22 22:07:04,2458565.42157,19.75
2019-03-22 23:53:39,2458565.49559,19.66
2019-06-14 04:10:46,2458648.67414,20.14
2019-06-14 05:57:20,2458648.74815,19.8
2019-06-14 10:10:59,2458648.92429,19.65
2019-06-14 11:57:33,2458648.9983,19.85
2019-07-02 10:20:46,2458666.93109,20.04
2019-07-02 12:07:20,2458667.00509,20.11
2019-07-02 16:20:59,2458667.18124,20.12
2019-08-21 19:24:41,2458717.30881,19.9
2019-09-26 08:52:19,2458752.86966,20.44
2019-10-17 17:09:44,2458774.21509,20.29
2020-01-02 11:48:07,2458850.99175,20.13
2020-01-02 13:34:41,2458851.06575,20.02
2020-12-28 06:52:10,2459211.78623,19.49
2021-01-12 11:10:53,2459226.96589,18.71
2021-01-12 12:57:27,2459227.0399,18.75
2021-02-17 04:26:50,2459262.6853,19.26
2021-02-17 06:13:25,2459262.75932,19.49
2021-03-23 23:52:12,2459297.49458,19.84
2021-06-14 16:09:39,2459380.17337,18.88
2021-06-14 17:56:13,2459380.24737,18.97
2021-06-14 22:09:53,2459380.42353,18.98
2021-06-14 23:56:27,2459380.49753,19.1
2021-07-03 12:05:50,2459399.00405,20.17
2021-07-03 16:19:29,2459399.1802,20.17
2021-07-03 18:06:03,2459399.2542,20.27
2021-09-16 21:07:57,2459474.38052,20.26
2021-10-04 15:09:03,2459492.13128,20.28
2021-10-04 17:08:09,2459492.21399,20.13
2022-01-07 06:07:02,2459586.75488,19.87
2022-01-26 01:54:47,2459605.57971,20.49
2022-02-28 07:23:11,2459638.80777,19.82
2022-04-10 13:01:21,2459680.0426,20.81
2022-04-25 05:26:18,2459694.7266,20.92
2022-06-26 11:20:05,2459756.97228,20.35
2022-06-26 13:06:39,2459757.04628,20.26
2022-06-26 17:20:18,2459757.22243,20.35
2022-07-20 13:10:04,2459781.04866,20.04
2022-07-20 17:23:43,2459781.2248,19.94
2022-08-23 10:59:01,2459814.95765,19.68
2022-09-30 22:03:03,2459853.41878,20.48
2022-10-14 16:07:55,2459867.17216,20.26
