#Date,JD(TCB),averagemag
2014-10-28 08:45:26,2456958.86488,15.08
2014-10-28 10:31:59,2456958.93888,15.09
2015-02-19 22:04:21,2457073.41969,15.03
2015-02-20 02:18:01,2457073.59584,15.04
2015-02-20 04:04:36,2457073.66986,15.04
2015-03-11 16:14:07,2457093.17647,15.03
2015-03-11 20:27:48,2457093.35264,15.04
2015-03-11 22:14:23,2457093.42666,15.01
2015-04-16 08:06:29,2457128.83784,15.02
2015-05-23 13:24:33,2457166.05872,15.01
2015-05-23 15:11:07,2457166.13272,14.9
2015-09-15 22:29:54,2457281.43743,15.07
2015-09-16 00:16:28,2457281.51144,15.05
2015-11-08 15:53:30,2457335.16215,15.07
2015-12-23 17:12:19,2457380.21689,15.09
2015-12-23 21:25:59,2457380.39304,15.05
2015-12-23 23:12:33,2457380.46705,15.05
2015-12-24 03:26:12,2457380.64319,15.08
2015-12-24 05:12:46,2457380.7172,15.07
2015-12-24 17:13:13,2457381.21751,15.09
2015-12-24 21:26:53,2457381.39367,15.08
2015-12-24 23:13:26,2457381.46766,15.07
2015-12-25 09:27:19,2457381.89397,15.08
2015-12-29 17:17:34,2457386.22053,15.08
2015-12-29 21:31:13,2457386.39668,15.1
2015-12-29 23:17:47,2457386.47068,15.1
2015-12-30 09:31:40,2457386.89699,15.09
2015-12-30 11:18:14,2457386.971,15.07
2015-12-30 15:31:54,2457387.14715,15.06
2015-12-30 17:18:28,2457387.22116,15.06
2015-12-30 23:18:42,2457387.47132,15.04
2016-03-01 23:15:24,2457449.46903,15.07
2016-03-26 09:32:00,2457473.89722,15.08
2017-11-03 19:41:43,2458061.32064,15.07
2018-04-25 00:56:14,2458233.53905,14.99
2018-04-25 02:42:49,2458233.61307,15.05
2018-05-18 18:53:13,2458257.28696,15.07
2018-08-26 17:45:11,2458357.23971,15.04
2019-02-10 02:36:30,2458524.60868,15.05
2019-02-10 04:23:04,2458524.68269,15.06
2019-02-10 10:23:19,2458524.93286,15.02
2019-02-10 14:36:59,2458525.10902,15.03
2019-02-22 08:46:49,2458536.86584,15.08
2019-02-22 10:33:24,2458536.93986,15.08
2019-04-05 04:11:16,2458578.67449,15.07
2019-08-14 15:03:10,2458710.1272,15.06
2019-08-15 03:03:37,2458710.62751,15.06
2019-08-15 04:50:11,2458710.70152,15.05
2019-08-28 05:04:10,2458723.71123,15.04
2019-08-28 09:17:50,2458723.88738,15.05
2019-08-28 15:18:03,2458724.13753,15.06
2019-12-01 02:54:29,2458818.62117,15.07
2020-03-03 19:11:32,2458912.29968,15.08
2020-04-25 11:20:47,2458964.97277,15.07
2020-06-03 13:03:41,2459004.04422,15.02
2020-06-03 17:17:22,2459004.22039,15.07
2020-09-09 16:01:36,2459102.16778,15.03
2020-12-11 14:41:54,2459195.11243,14.98
2020-12-11 16:28:28,2459195.18644,14.98
2021-02-10 04:21:31,2459255.68161,14.86
2021-02-10 08:35:12,2459255.85778,14.86
2021-02-10 14:35:26,2459256.10794,14.81
2021-02-10 16:22:01,2459256.18196,14.8
2021-02-10 20:35:41,2459256.35811,14.8
2021-02-23 10:32:17,2459268.93909,14.84
2021-02-23 14:45:58,2459269.11525,14.84
2021-02-23 16:32:33,2459269.18927,14.82
2021-04-05 16:10:09,2459310.17372,14.95
2021-05-10 07:52:56,2459344.82843,14.95
2021-05-29 21:42:25,2459364.40446,14.98
2021-09-06 04:55:14,2459463.70502,14.98
2021-09-06 06:41:48,2459463.77903,14.96
2021-09-23 22:56:44,2459481.45606,14.89
2021-10-29 04:12:45,2459516.67552,14.92
2021-10-29 05:59:18,2459516.74951,14.91
2021-12-05 17:28:55,2459554.22841,14.89
2021-12-05 21:42:34,2459554.40456,14.88
2021-12-22 09:51:26,2459570.91072,14.81
2022-02-20 23:32:14,2459631.48072,14.83
2022-03-12 21:54:45,2459651.41302,14.89
2022-03-12 23:41:19,2459651.48703,14.89
2022-05-24 16:37:27,2459724.19267,14.81
2022-06-09 08:57:42,2459739.8734,14.8
2022-10-08 01:38:36,2459860.56847,14.62
2022-10-08 05:52:14,2459860.74461,14.65
