#Date,JD(TCB),averagemag
2014-10-28 06:20:12,2456958.76403,20.13
2015-01-04 01:53:30,2457026.57882,20.21
2015-01-04 06:07:09,2457026.75497,20.31
2015-01-04 07:53:44,2457026.82898,20.27
2015-02-12 05:39:12,2457065.73556,20.2
2015-02-12 07:25:46,2457065.80956,20.14
2015-03-16 11:09:22,2457097.96484,20.19
2015-06-02 15:50:31,2457176.16008,20.04
2015-06-02 17:37:05,2457176.23409,20.03
2015-07-17 04:13:08,2457220.67579,20.05
2015-09-11 15:33:57,2457277.14858,19.89
2015-10-14 19:28:41,2457310.31159,20.05
2015-11-09 15:17:22,2457336.13706,19.93
2015-11-09 19:31:02,2457336.31322,20.05
2015-12-27 01:09:33,2457383.5483,19.9
2015-12-27 02:56:07,2457383.6223,19.88
2016-01-19 09:00:05,2457406.87506,20.02
2016-01-19 13:13:44,2457407.0512,20.15
2016-01-19 15:00:18,2457407.12521,20.08
2016-02-23 18:46:32,2457442.28231,20.05
2016-02-23 20:33:06,2457442.35632,20.11
2016-03-29 01:52:49,2457476.57834,19.97
2016-04-19 01:49:26,2457497.576,20.23
2016-06-01 10:40:24,2457540.94472,20.11
2016-06-13 18:33:23,2457553.27318,20.03
2016-07-27 11:15:21,2457596.96899,20.06
2016-08-18 09:28:26,2457618.89475,20.06
2016-08-18 11:15:00,2457618.96875,20.03
2016-09-22 10:42:51,2457653.94642,20.05
2016-10-29 02:34:52,2457690.60755,20.04
2016-10-29 04:21:27,2457690.68156,20.18
2016-11-21 16:28:28,2457714.18644,20.1
2016-11-21 20:42:08,2457714.36259,20.15
2017-01-07 14:19:21,2457761.09677,20.0
2017-01-07 16:05:55,2457761.17078,20.09
2017-02-02 08:17:17,2457786.84534,20.0
2017-02-02 10:03:51,2457786.91934,20.14
2017-04-11 16:11:47,2457855.17485,20.02
2017-04-30 04:12:30,2457873.67535,20.11
2017-06-13 08:45:43,2457917.86508,20.14
2017-06-26 08:52:19,2457930.86966,20.1
2017-08-07 23:55:30,2457973.49688,20.03
2017-09-01 11:50:39,2457997.99351,20.23
2017-09-01 13:37:14,2457998.06752,20.25
2017-10-04 07:14:54,2458030.80201,20.03
2017-11-13 17:06:00,2458071.2125,20.02
2017-11-13 18:52:34,2458071.2865,20.23
2017-12-05 05:15:27,2458092.71906,20.19
2017-12-05 11:15:42,2458092.96924,20.13
2018-01-19 22:51:16,2458138.45227,20.31
2018-02-16 18:27:23,2458166.26902,20.23
2018-03-17 16:21:23,2458195.18152,20.3
2018-03-17 18:07:57,2458195.25552,20.22
2018-04-25 03:21:26,2458233.63988,20.23
2018-06-24 19:56:20,2458294.33079,20.36
2018-06-24 21:42:55,2458294.4048,20.28
2018-09-15 18:51:26,2458377.28572,20.29
2018-09-15 20:38:01,2458377.35973,20.25
2018-10-16 12:38:40,2458408.02685,20.02
2018-11-29 06:16:37,2458451.76154,20.14
2018-11-29 08:03:11,2458451.83554,20.22
2018-12-20 00:26:24,2458472.51833,20.32
2018-12-20 02:12:58,2458472.59234,20.3
2019-01-31 19:46:24,2458515.32389,20.25
2019-03-28 23:26:04,2458571.47644,20.16
2019-03-29 01:12:38,2458571.55044,20.14
2019-05-08 06:03:44,2458611.75259,20.07
2019-05-22 10:22:35,2458625.93235,20.21
2019-05-22 12:09:09,2458626.00635,20.07
2019-08-05 01:08:31,2458700.54758,20.37
2019-09-05 20:27:49,2458732.35265,20.28
2019-10-02 07:44:40,2458758.82269,20.39
2019-11-10 22:09:49,2458798.42348,20.14
2019-11-10 23:56:24,2458798.4975,20.16
2019-11-24 10:30:30,2458811.93785,20.26
2019-11-24 12:17:04,2458812.01185,20.19
2020-01-05 13:20:16,2458854.05574,20.32
2020-01-21 09:32:50,2458869.8978,20.34
2020-02-27 09:49:55,2458906.90966,20.4
2020-03-28 00:48:08,2458936.53343,20.41
2020-04-25 11:59:16,2458964.99949,20.34
2020-04-25 13:45:50,2458965.0735,20.24
2020-06-12 21:36:49,2459013.40057,20.21
2020-06-13 01:50:29,2459013.57672,20.3
2020-07-06 02:24:58,2459036.60067,20.36
2020-07-06 04:11:33,2459036.67469,20.37
2020-07-06 08:25:13,2459036.85084,20.52
2020-07-06 10:11:48,2459036.92486,20.39
2020-09-16 12:49:27,2459109.03434,20.46
2020-09-16 14:36:01,2459109.10834,20.29
2020-11-30 02:02:01,2459183.58473,20.29
2020-11-30 06:15:41,2459183.76089,20.19
2020-12-20 20:11:44,2459204.34148,20.34
2020-12-21 00:25:24,2459204.51764,20.41
2020-12-21 02:11:58,2459204.59164,20.41
2021-02-01 05:58:28,2459246.74894,20.33
2021-02-01 07:45:02,2459246.82294,20.49
2021-03-03 13:24:21,2459277.05858,18.93
2021-03-29 11:24:21,2459302.97524,18.15
2021-03-29 13:10:55,2459303.04925,18.16
2021-05-09 00:01:20,2459343.50093,18.0
2021-05-22 22:20:13,2459357.43071,18.04
2021-05-23 00:06:47,2459357.50471,17.98
2021-07-06 16:39:21,2459402.19399,18.13
2021-07-23 14:57:48,2459419.12347,18.13
2021-07-23 16:44:22,2459419.19748,18.09
2021-10-01 01:51:42,2459488.57757,18.48
2021-10-01 03:38:16,2459488.65157,18.43
2021-10-29 03:34:19,2459516.64883,18.43
2021-10-29 07:47:59,2459516.82499,18.49
2021-12-14 15:13:07,2459563.13411,18.65
2022-01-05 07:34:25,2459584.81557,18.86
2022-01-05 09:20:59,2459584.88957,18.84
2022-01-05 13:34:39,2459585.06573,18.88
2022-02-13 01:06:30,2459623.54618,19.04
2022-02-13 02:53:04,2459623.62019,19.05
2022-03-17 12:35:46,2459656.02484,19.39
2022-04-09 18:27:46,2459679.26928,19.47
2022-05-21 18:57:05,2459721.28964,19.35
2022-05-21 23:10:45,2459721.4658,19.37
2022-06-03 17:17:00,2459734.22014,19.32
2022-07-17 23:39:54,2459778.48604,19.48
2022-08-06 09:55:59,2459797.91388,19.53
2022-08-06 11:42:34,2459797.98789,19.5
2022-09-12 09:14:46,2459834.88525,19.56
2022-09-12 11:01:20,2459834.95926,19.54
2022-10-16 02:55:55,2459868.62216,19.74
