#Date,JD(TCB),averagemag
2014-10-29 01:02:17,2456959.54325,18.64
2014-11-25 12:50:22,2456987.03498,18.8
2015-04-23 17:12:45,2457136.21719,18.52
2015-04-23 18:59:18,2457136.29118,18.48
2015-05-24 10:49:02,2457166.95072,18.72
2015-05-24 12:35:36,2457167.02472,18.62
2015-06-16 00:31:05,2457189.52159,18.71
2015-11-08 14:12:03,2457335.0917,18.7
2015-12-10 12:04:22,2457367.00303,18.87
2015-12-10 13:50:57,2457367.07705,18.95
2016-05-03 18:21:41,2457512.26506,19.26
2016-06-07 17:44:06,2457547.23896,18.53
2016-06-24 17:47:27,2457564.24128,18.89
2016-09-30 14:06:10,2457662.08762,18.43
2016-09-30 15:52:44,2457662.16162,18.49
2016-09-30 20:06:25,2457662.33779,18.52
2016-10-12 14:14:21,2457674.0933,18.67
2016-10-12 16:00:56,2457674.16731,18.66
2016-11-18 03:22:37,2457710.64071,18.69
2016-11-18 07:36:19,2457710.81689,18.65
2016-12-27 01:10:06,2457749.54868,18.65
2016-12-27 02:56:41,2457749.6227,18.89
2016-12-27 08:56:57,2457749.87288,18.98
2016-12-27 13:10:38,2457750.04905,18.93
2016-12-27 14:57:13,2457750.12307,18.46
2017-01-02 21:03:11,2457756.37721,18.73
2017-01-03 01:16:52,2457756.55338,18.97
2017-01-03 07:17:07,2457756.80355,18.53
2017-01-03 09:03:42,2457756.87757,18.71
2017-01-03 13:17:23,2457757.05374,18.83
2017-03-25 17:05:02,2457838.21183,18.78
2017-03-25 21:18:41,2457838.38797,18.76
2017-03-25 23:05:15,2457838.46198,18.61
2017-04-07 05:12:22,2457850.71692,18.69
2017-04-07 09:26:01,2457850.89307,18.64
2017-04-07 11:12:35,2457850.96707,18.64
2017-05-14 20:52:50,2457888.37002,18.74
2017-06-23 15:48:59,2457928.15902,18.67
2017-06-23 20:02:38,2457928.33516,18.69
2017-07-03 02:08:34,2457937.58928,18.64
2017-07-03 03:55:08,2457937.66329,18.72
2017-10-09 10:30:40,2458035.93796,18.45
2017-10-09 12:17:15,2458036.01198,18.43
2017-10-27 16:35:25,2458054.19126,18.54
2017-10-27 18:22:00,2458054.26528,18.59
2017-11-28 22:09:56,2458086.42356,18.55
2018-04-02 22:24:15,2458211.43351,19.11
2018-04-03 00:10:49,2458211.50751,19.03
2018-04-03 04:24:28,2458211.68366,18.94
2018-04-24 04:25:56,2458232.68468,19.1
2018-04-24 06:12:29,2458232.75867,19.07
2018-05-25 22:00:52,2458264.41727,17.96
2018-10-19 01:22:49,2458410.55751,18.74
2018-10-19 05:36:31,2458410.73369,18.54
2018-11-11 05:33:40,2458433.73171,18.89
2018-11-11 07:20:15,2458433.80573,18.93
2018-12-09 11:21:10,2458461.97303,18.96
2019-05-09 13:08:58,2458613.04789,18.61
2019-05-09 17:22:36,2458613.22403,18.77
2019-06-05 17:07:51,2458640.21378,18.88
2019-06-05 18:54:24,2458640.28778,19.02
2019-10-17 08:06:29,2458773.83784,18.83
2019-10-17 09:53:03,2458773.91184,19.05
2019-11-12 09:07:30,2458799.88021,18.71
2019-11-12 10:54:05,2458799.95422,18.96
2019-12-07 22:10:58,2458825.42428,18.88
2020-04-26 02:51:37,2458965.61918,18.86
2020-05-24 21:57:49,2458994.41515,18.61
2020-05-25 02:11:27,2458994.59128,18.81
2020-06-18 20:57:07,2459019.373,18.81
2020-06-18 22:43:40,2459019.44699,18.85
2020-10-19 13:21:34,2459142.05664,18.97
2020-11-12 01:18:00,2459165.55417,19.22
2020-12-09 19:06:32,2459193.2962,19.18
2020-12-09 23:20:14,2459193.47238,19.17
2021-04-13 17:31:27,2459318.23017,19.19
2021-04-13 19:18:00,2459318.30417,19.06
2021-05-10 11:20:05,2459344.97228,17.66
2021-05-10 13:06:38,2459345.04627,17.68
2021-06-06 05:06:26,2459371.7128,18.62
2021-06-06 06:53:00,2459371.78681,18.76
2021-10-29 18:43:21,2459517.2801,18.96
2022-04-24 12:40:21,2459694.02802,18.91
2022-05-25 14:01:48,2459725.08458,18.86
2022-06-16 13:58:06,2459747.08201,18.63
