#Date,JD(TCB),averagemag
2014-08-27 04:41:00,2456896.69514,14.57
2014-08-27 06:27:34,2456896.76914,14.55
2014-11-13 23:58:58,2456975.49928,14.61
2014-11-14 01:45:32,2456975.57329,14.61
2014-11-25 18:05:19,2456987.25369,14.62
2014-11-25 19:51:53,2456987.3277,14.61
2015-01-04 22:52:14,2457027.45294,14.61
2015-02-28 18:10:28,2457082.25727,14.6
2015-04-11 04:01:44,2457123.66787,14.63
2015-04-11 05:48:18,2457123.74188,14.6
2015-04-11 10:01:59,2457123.91804,14.63
2015-04-11 11:48:33,2457123.99205,14.6
2015-05-02 10:13:06,2457144.92576,14.63
2015-05-02 11:59:41,2457144.99978,14.59
2015-05-02 16:13:21,2457145.17594,14.61
2015-06-20 15:51:51,2457194.16101,14.66
2015-06-20 17:38:25,2457194.23501,14.65
2015-07-20 09:42:53,2457223.90478,14.67
2015-09-27 14:23:37,2457293.09973,14.66
2015-09-27 16:10:11,2457293.17374,14.67
2015-10-12 16:14:14,2457308.17655,14.67
2015-11-24 20:41:56,2457351.36245,14.66
2015-12-08 02:47:44,2457364.61648,14.67
2016-01-15 19:43:57,2457403.32219,14.67
2016-02-10 23:46:02,2457429.4903,14.69
2016-02-11 01:32:37,2457429.56432,14.67
2016-03-11 13:20:34,2457459.05595,14.68
2016-04-26 11:13:37,2457504.96779,14.7
2016-04-26 13:00:12,2457505.04181,14.69
2016-04-26 17:13:52,2457505.21796,14.67
2016-04-26 19:00:26,2457505.29197,14.69
2016-05-17 01:11:33,2457525.54969,14.69
2016-05-17 07:11:47,2457525.79985,14.69
2016-05-17 11:25:27,2457525.97601,14.69
2017-10-22 01:23:20,2458048.55787,14.72
2017-10-22 05:37:00,2458048.73403,14.73
2017-11-02 11:42:55,2458059.98814,14.73
2017-11-02 13:29:29,2458060.06214,14.74
2017-12-14 22:15:36,2458102.4275,14.73
2017-12-15 00:02:10,2458102.5015,14.73
2018-01-01 22:17:36,2458120.42889,14.74
2018-01-02 00:04:10,2458120.50289,14.73
2018-02-05 23:20:47,2458155.47277,14.74
2018-03-10 21:14:15,2458188.3849,14.76
2018-03-10 23:00:49,2458188.4589,14.75
2018-04-05 05:04:46,2458213.71164,14.73
2018-04-05 09:18:26,2458213.8878,14.74
2018-05-25 20:59:52,2458264.37491,14.74
2018-05-25 22:46:26,2458264.44891,14.76
2018-06-19 09:05:44,2458288.87898,14.74
2018-07-26 20:40:30,2458326.36146,14.73
2018-07-26 22:27:04,2458326.43546,14.77
2018-08-31 15:46:32,2458362.15731,14.76
2018-09-21 07:57:51,2458382.83184,14.77
2018-11-03 00:32:07,2458425.5223,14.76
2018-11-03 02:18:41,2458425.59631,14.74
2018-11-14 00:38:24,2458436.52667,14.74
2018-12-25 13:03:51,2458478.04434,14.76
2019-02-17 10:43:08,2458531.94662,14.76
2019-03-26 12:07:31,2458569.00522,14.78
2019-04-18 10:29:49,2458591.93737,14.78
2019-04-18 12:16:23,2458592.01138,14.77
2019-06-08 04:10:35,2458642.67402,14.79
2019-07-05 05:56:25,2458669.74751,14.79
2019-07-05 10:10:04,2458669.92366,14.78
2019-07-18 11:34:39,2458682.9824,14.76
2019-07-18 13:21:13,2458683.0564,14.79
2019-08-22 13:10:59,2458718.04929,14.78
2019-08-22 14:57:33,2458718.1233,14.78
2019-09-29 22:31:30,2458756.43854,14.77
2019-09-30 02:45:09,2458756.61469,14.78
2019-10-22 15:19:08,2458779.13829,14.78
2019-10-22 17:05:42,2458779.21229,14.77
2019-10-22 21:19:22,2458779.38845,14.77
2019-10-22 23:05:56,2458779.46245,14.77
2019-12-10 06:59:14,2458827.79113,14.79
2019-12-10 11:12:55,2458827.9673,14.78
2020-01-05 00:04:08,2458853.50287,14.79
2020-01-05 01:50:42,2458853.57688,14.79
2020-02-05 03:13:41,2458884.6345,14.79
2020-03-12 09:29:11,2458920.89527,14.79
2020-03-12 11:15:46,2458920.96928,14.81
2020-03-29 16:00:26,2458938.16697,14.78
2020-03-29 17:47:00,2458938.24097,14.78
2020-05-12 18:53:51,2458982.2874,14.81
2020-05-25 01:10:23,2458994.54888,14.8
2020-05-25 02:56:57,2458994.62288,14.79
2020-07-06 17:27:47,2459037.22763,14.81
2020-09-01 09:44:11,2459093.90568,14.82
2020-09-21 19:55:55,2459114.3305,14.81
2020-11-03 14:16:10,2459157.09456,14.81
2020-11-03 18:29:50,2459157.27072,14.79
2020-11-14 14:22:27,2459168.09892,14.82
2020-12-25 23:15:32,2459209.46912,14.82
2020-12-26 01:02:07,2459209.54314,14.82
2021-01-15 18:59:54,2459230.2916,14.8
2021-02-17 22:41:56,2459263.44579,14.57
2021-02-18 00:28:30,2459263.51979,14.55
2021-03-27 10:19:44,2459300.93037,14.62
2021-03-27 12:06:19,2459301.00439,14.65
2021-04-19 06:15:27,2459323.76073,14.72
2021-04-19 10:29:07,2459323.93689,14.7
