#Date,JD(TCB),averagemag
2014-11-02 20:38:54,2456964.36035,18.47
2014-11-02 22:25:28,2456964.43435,18.52
2014-11-27 04:13:36,2456988.67611,18.97
2015-04-19 21:28:50,2457132.39502,18.46
2015-04-20 01:42:31,2457132.57119,18.6
2015-05-18 19:36:04,2457161.31671,18.51
2015-05-18 21:22:39,2457161.39073,18.51
2015-06-15 19:26:34,2457189.31012,18.41
2015-07-29 02:09:02,2457232.58961,18.15
2015-10-04 04:52:22,2457299.70303,18.45
2015-11-13 17:30:10,2457340.22928,18.42
2015-12-11 09:24:26,2457367.89197,18.45
2015-12-11 11:10:59,2457367.96596,18.01
2016-01-06 21:15:32,2457394.38579,18.09
2016-01-06 23:02:05,2457394.45978,18.04
2016-04-30 16:40:13,2457509.19459,16.94
2017-10-30 20:04:35,2458057.33652,18.12
2017-12-04 13:18:57,2458092.05483,17.5
2017-12-04 15:05:31,2458092.12883,17.69
2018-01-09 14:35:28,2458128.10796,17.5
2018-01-09 18:49:07,2458128.28411,17.42
2018-01-09 20:35:41,2458128.35811,17.53
2018-01-28 00:56:59,2458146.53957,17.78
2018-01-28 02:43:33,2458146.61358,17.91
2018-01-28 06:57:13,2458146.78973,17.85
2018-01-28 08:43:47,2458146.86374,17.87
2018-03-27 20:34:34,2458205.35734,17.55
2018-03-28 00:48:15,2458205.53351,17.94
2018-03-28 02:34:49,2458205.60751,17.72
2018-04-18 00:57:53,2458226.5402,17.77
2018-04-18 02:44:27,2458226.6142,17.8
2018-05-24 02:23:59,2458262.59999,17.77
2018-06-30 17:56:37,2458300.24765,18.18
2018-06-30 19:43:11,2458300.32166,18.06
2018-07-17 12:02:27,2458317.0017,17.59
2018-07-17 13:49:01,2458317.07571,17.69
2018-10-23 15:04:32,2458415.12815,18.23
2018-10-23 16:51:05,2458415.20214,18.21
2019-01-27 15:44:26,2458511.15586,18.27
2019-01-27 19:58:06,2458511.33201,18.03
2019-01-27 21:44:39,2458511.40601,17.84
2019-01-28 01:58:19,2458511.58216,17.49
2019-01-28 03:44:53,2458511.65617,17.47
2019-02-07 14:06:28,2458522.08782,18.46
2019-02-07 20:06:42,2458522.33799,18.28
2019-02-07 21:53:16,2458522.41199,18.43
2019-02-08 02:06:56,2458522.58815,17.9
2019-02-08 03:53:30,2458522.66215,18.0
2019-02-08 09:53:44,2458522.91231,18.29
2019-04-08 13:59:37,2458582.08307,18.5
2019-04-08 15:46:12,2458582.15708,18.47
2019-05-03 20:02:30,2458607.33507,18.72
2019-05-03 21:49:05,2458607.40909,18.74
2019-06-04 15:33:24,2458639.14819,18.09
2019-07-15 00:54:08,2458679.53759,18.35
2019-08-01 09:16:51,2458696.8867,18.44
2019-08-01 11:03:25,2458696.96071,18.53
2019-08-01 15:17:06,2458697.13688,18.53
2019-08-01 17:03:40,2458697.21088,18.46
2019-08-01 21:17:21,2458697.38705,18.4
2019-08-01 23:03:55,2458697.46105,18.68
2019-08-11 23:14:51,2458707.46865,18.36
2019-08-12 09:28:47,2458707.89499,18.52
2019-08-12 11:15:21,2458707.96899,18.41
2019-08-12 15:29:01,2458708.14515,18.22
2019-08-12 17:15:36,2458708.21917,18.38
2019-08-12 21:29:16,2458708.39532,18.25
2019-10-12 17:30:26,2458769.22947,18.48
2019-10-12 19:17:00,2458769.30347,18.35
2019-10-12 23:30:39,2458769.47962,18.35
2019-11-07 00:16:14,2458794.51127,19.06
2019-12-06 21:16:13,2458824.38626,18.34
2020-01-13 23:24:30,2458862.47535,18.94
2020-01-14 03:38:09,2458862.65149,18.97
2020-01-25 15:53:17,2458874.162,18.88
2020-01-25 17:39:51,2458874.23601,18.91
2020-03-12 19:05:19,2458921.29536,18.79
2020-03-12 20:51:54,2458921.36938,18.87
2020-03-13 01:05:34,2458921.54553,18.67
2020-03-13 02:52:08,2458921.61954,18.64
2020-03-13 07:05:49,2458921.79571,18.85
2020-03-18 01:10:53,2458926.54922,18.4
2020-03-18 02:57:28,2458926.62324,18.39
2020-05-01 03:51:36,2458970.66083,18.87
2020-05-26 16:51:24,2458996.20236,18.97
2020-06-26 18:08:25,2459027.25584,18.71
2020-06-26 19:55:00,2459027.32986,18.66
2020-10-24 03:02:42,2459146.62688,18.64
2020-11-14 08:57:21,2459167.87316,18.39
2020-12-16 04:11:53,2459199.67492,18.6
2021-01-28 21:43:33,2459243.40524,18.54
2021-01-29 01:57:13,2459243.5814,18.34
2021-01-29 07:57:27,2459243.83156,18.51
2021-01-29 09:44:01,2459243.90557,18.54
2021-01-29 13:57:40,2459244.08171,18.33
2021-02-07 20:05:06,2459253.33688,18.56
2021-02-08 02:05:19,2459253.58703,18.66
2021-02-08 03:51:53,2459253.66103,18.59
2021-02-08 08:05:33,2459253.83719,18.6
2021-02-08 09:52:07,2459253.91119,18.2
2021-02-08 14:05:47,2459254.08735,18.35
2021-02-08 15:52:21,2459254.16135,18.58
2021-04-09 01:58:33,2459313.58233,18.62
2021-04-09 03:45:07,2459313.65633,18.57
2021-05-04 20:00:48,2459339.33389,18.62
2021-05-04 21:47:23,2459339.40791,18.64
2021-06-05 03:32:06,2459370.64729,18.63
2021-07-15 18:51:45,2459411.28594,15.71
2021-07-15 20:38:20,2459411.35995,15.67
2021-07-28 06:59:31,2459423.79133,18.75
2021-09-15 13:05:11,2459473.04527,18.34
2021-09-15 17:18:51,2459473.22142,18.4
2021-09-15 19:05:25,2459473.29543,18.24
2021-09-16 01:05:38,2459473.54558,18.29
2021-09-20 23:23:11,2459478.47443,18.43
2021-09-21 01:09:45,2459478.54844,18.49
2021-09-21 05:23:25,2459478.72459,18.44
2021-11-03 16:05:55,2459522.17078,18.8
2021-11-03 17:52:28,2459522.24477,18.64
2021-11-28 05:39:53,2459546.73603,18.19
2021-11-28 09:53:32,2459546.91218,17.79
2021-12-27 09:33:53,2459575.89853,15.59
2021-12-27 11:20:27,2459575.97253,15.62
2022-04-20 21:10:06,2459690.38201,17.94
2022-05-19 22:49:13,2459719.45084,17.82
2022-06-16 14:53:49,2459747.12071,17.7
2022-08-06 21:41:40,2459798.40394,16.98
2022-08-07 01:55:21,2459798.5801,16.76
2022-08-07 03:41:55,2459798.65411,16.85
2022-08-07 07:55:35,2459798.83027,16.7
2022-09-25 00:12:15,2459847.50851,17.94
2022-09-25 01:58:49,2459847.58251,17.89
2022-10-05 02:04:49,2459857.58668,17.91
2022-10-05 06:18:28,2459857.76282,17.84
