#Date,JD(TCB),averagemag
2014-08-28 07:50:14,2456897.82655,19.08
2014-08-28 09:36:49,2456897.90057,19.4
2015-01-04 21:37:46,2457027.40123,18.13
2015-01-26 21:30:00,2457049.39583,17.99
2015-04-27 08:44:11,2457139.86402,19.03
2015-04-27 18:58:05,2457140.29034,19.81
2015-06-23 00:46:22,2457196.5322,18.85
2015-08-20 12:32:19,2457255.02244,18.48
2015-09-29 07:22:54,2457294.80757,18.81
2015-10-12 05:43:13,2457307.73834,19.31
2015-11-26 16:03:40,2457353.16921,17.68
2015-11-26 17:50:14,2457353.24322,17.64
2015-11-26 22:03:54,2457353.41938,17.75
2015-12-05 23:56:06,2457362.49729,18.62
2015-12-06 04:09:45,2457362.67344,18.82
2016-01-15 10:41:06,2457402.94521,18.69
2016-02-09 20:40:21,2457428.36135,17.73
2016-04-30 03:48:15,2457508.65851,18.53
2016-04-30 08:01:55,2457508.83466,18.82
2016-04-30 09:48:29,2457508.90867,18.84
2016-04-30 14:02:09,2457509.08483,18.83
2016-04-30 15:48:43,2457509.15883,18.86
2016-04-30 20:02:23,2457509.33499,18.88
2016-04-30 21:48:57,2457509.40899,18.87
2016-05-01 02:02:37,2457509.58515,18.96
2016-05-11 14:11:27,2457520.09128,19.12
2016-05-11 15:58:01,2457520.16529,18.79
2016-05-11 20:11:41,2457520.34145,18.91
2016-05-11 21:58:15,2457520.41545,19.0
2016-05-12 02:11:56,2457520.59162,18.92
2016-05-12 03:58:30,2457520.66563,18.89
2016-05-12 08:12:10,2457520.84178,18.94
2016-05-12 09:58:44,2457520.91579,18.73
2017-10-24 22:37:27,2458051.44267,18.62
2017-10-31 14:56:24,2458058.1225,18.57
2017-10-31 16:42:58,2458058.1965,18.77
2017-10-31 20:56:38,2458058.37266,18.74
2017-12-31 07:21:26,2458118.80655,19.11
2017-12-31 09:08:00,2458118.88056,18.99
2018-02-05 06:27:59,2458154.76943,19.2
2018-03-10 00:01:48,2458187.50125,19.57
2018-03-10 01:48:22,2458187.57525,20.2
2018-04-02 13:50:54,2458211.07701,19.11
2018-04-02 18:04:34,2458211.25317,19.53
2018-04-02 19:51:08,2458211.32718,19.27
2018-05-29 05:51:08,2458267.74384,19.58
2018-05-29 11:51:23,2458267.99402,19.21
2018-06-18 12:02:55,2458288.00203,19.45
2018-06-18 13:49:30,2458288.07604,19.14
2018-07-28 07:28:45,2458327.81163,19.43
2018-07-28 11:42:26,2458327.9878,19.35
2018-09-21 17:11:45,2458383.21649,19.06
2018-09-21 18:58:20,2458383.29051,19.52
2018-11-05 21:45:12,2458428.40639,19.34
2018-11-05 23:31:46,2458428.48039,19.3
2018-11-06 05:32:00,2458428.73056,19.47
2018-11-11 09:49:52,2458433.90963,18.72
2018-11-11 11:36:27,2458433.98365,18.66
2018-11-11 15:50:07,2458434.1598,18.93
2018-12-25 20:18:25,2458478.34612,19.68
2018-12-25 22:04:59,2458478.42013,19.58
2019-01-13 16:03:01,2458497.16876,19.63
2019-03-25 20:52:28,2458568.36977,19.45
2019-03-26 01:06:07,2458568.54591,19.45
2019-03-26 02:52:41,2458568.61992,19.06
2019-04-14 19:14:57,2458588.30205,19.55
2019-04-14 21:01:31,2458588.37605,19.18
2019-04-15 01:15:11,2458588.55221,19.33
2019-04-15 03:01:45,2458588.62622,19.08
2019-06-10 19:03:06,2458645.29382,20.16
2019-06-10 20:49:40,2458645.36782,19.35
2019-06-11 01:03:21,2458645.54399,19.64
2019-09-29 13:45:55,2458756.07355,20.84
2019-10-19 02:13:42,2458775.59285,20.44
2019-10-19 06:27:22,2458775.769,20.22
2019-10-19 08:13:56,2458775.84301,20.11
2019-12-12 20:24:47,2458830.35054,20.78
2020-01-04 22:49:44,2458853.4512,19.59
2020-01-05 03:03:23,2458853.62735,19.62
2020-02-06 10:24:58,2458885.934,20.44
2020-02-06 12:11:32,2458886.00801,20.14
2020-03-13 18:20:23,2458922.26416,20.13
2020-03-13 20:06:56,2458922.33815,20.07
2020-03-29 18:45:30,2458938.2816,19.96
2020-05-15 05:34:02,2458984.73197,20.14
2020-05-15 09:47:42,2458984.90813,19.75
2020-07-06 14:28:31,2459037.10314,19.81
2020-09-22 05:09:57,2459114.71524,18.0
2020-09-22 06:56:32,2459114.78926,18.09
2020-11-06 09:42:31,2459159.90453,19.5
2020-11-06 15:42:45,2459160.15469,19.1
2020-11-06 17:29:19,2459160.22869,19.33
2020-11-11 21:47:11,2459165.40777,19.38
2020-11-11 23:33:45,2459165.48177,19.46
2020-11-12 03:47:25,2459165.65793,19.32
2020-11-12 05:33:59,2459165.73193,19.17
2020-12-26 08:16:28,2459209.84477,19.11
2021-01-14 08:13:58,2459228.84303,18.88
2021-01-14 10:00:32,2459228.91704,18.97
2021-02-16 21:20:03,2459262.38892,17.66
2021-03-27 01:04:39,2459300.5449,19.27
2021-03-27 02:51:13,2459300.6189,19.57
2021-03-27 07:04:52,2459300.79505,19.61
2021-04-15 15:00:34,2459320.12539,19.57
2021-06-11 13:02:14,2459377.04322,19.68
2021-06-11 14:48:49,2459377.11723,19.44
2021-07-06 07:08:58,2459401.79789,19.21
2021-07-06 08:55:33,2459401.87191,19.41
2021-08-09 18:51:01,2459436.28543,19.05
2021-10-02 18:11:07,2459490.25772,17.6
2021-10-02 19:57:41,2459490.33172,17.59
2021-11-17 04:35:53,2459535.69159,17.5
2021-11-17 06:22:28,2459535.7656,17.46
2021-11-17 10:36:08,2459535.94176,17.51
2021-11-17 12:22:42,2459536.01576,17.53
2021-11-24 00:27:41,2459542.51922,19.43
2021-11-24 04:41:20,2459542.69537,19.1
2022-01-05 17:04:42,2459585.2116,18.0
2022-01-27 22:56:16,2459607.45574,18.83
2022-02-28 08:41:34,2459638.8622,19.56
2022-04-13 20:14:42,2459683.34354,18.39
2022-04-13 22:01:16,2459683.41755,18.58
2022-04-14 04:01:30,2459683.66771,18.46
2022-04-14 08:15:09,2459683.84385,18.48
2022-04-28 08:25:24,2459697.85097,19.03
2022-04-28 10:11:58,2459697.92498,19.02
2022-04-28 14:25:38,2459698.10113,18.9
2022-04-28 16:12:12,2459698.17514,19.01
2022-04-28 20:25:52,2459698.3513,18.94
2022-04-28 22:12:26,2459698.4253,19.23
2022-06-23 20:13:57,2459754.34302,18.85
2022-06-23 22:00:32,2459754.41704,18.89
2022-07-22 02:13:05,2459782.59242,19.16
2022-08-21 07:59:40,2459812.8331,19.79
2022-08-21 09:46:15,2459812.90712,19.84
2022-09-30 07:02:39,2459852.79351,18.85
2022-09-30 08:49:14,2459852.86752,18.93
2022-10-13 01:09:41,2459865.54839,19.15
2022-10-13 02:56:15,2459865.6224,18.91
