#Date,JD(TCB),averagemag
2014-08-22 06:14:28,2456891.76005,18.62
2014-08-22 12:14:41,2456892.0102,18.62
2014-08-22 14:01:15,2456892.0842,18.59
2014-08-22 20:01:28,2456892.33435,18.57
2014-08-23 00:15:07,2456892.5105,18.6
2014-08-23 02:01:41,2456892.5845,18.59
2014-08-23 06:15:20,2456892.76065,18.64
2014-10-29 09:52:42,2456959.9116,18.48
2014-10-29 15:52:57,2456960.16177,18.47
2014-10-29 17:39:31,2456960.23578,18.47
2014-10-29 21:53:11,2456960.41193,18.48
2014-10-29 23:39:45,2456960.48594,18.51
2014-10-30 03:53:26,2456960.66211,18.49
2014-10-30 05:40:00,2456960.73611,18.49
2014-10-30 09:53:41,2456960.91228,18.49
2014-10-30 11:40:15,2456960.98628,18.45
2014-10-30 17:40:30,2456961.23646,18.48
2015-01-15 22:57:34,2457038.45664,18.5
2015-02-06 15:08:39,2457060.13101,18.5
2015-05-14 00:12:30,2457156.50868,18.48
2015-05-14 01:59:04,2457156.58269,18.54
2015-05-29 12:16:39,2457172.01156,18.58
2015-05-29 14:03:13,2457172.08557,18.61
2015-07-06 23:25:09,2457210.4758,18.57
2015-09-02 17:04:33,2457268.21149,18.56
2015-09-02 18:51:07,2457268.2855,18.56
2015-09-02 23:04:47,2457268.46166,18.56
2015-09-03 00:51:21,2457268.53566,18.58
2015-11-01 22:56:27,2457328.45587,18.46
2015-11-02 00:43:02,2457328.52988,18.45
2015-11-02 04:56:42,2457328.70604,18.45
2015-11-18 23:07:43,2457345.46369,18.45
2015-11-19 00:54:18,2457345.53771,18.5
2015-12-26 22:44:35,2457383.44763,18.48
2015-12-27 00:31:09,2457383.52163,18.44
2016-01-29 16:09:07,2457417.173,18.46
2016-01-29 17:55:42,2457417.24701,18.46
2016-02-16 17:58:14,2457435.24877,18.45
2016-05-23 07:12:15,2457531.80017,18.29
2016-05-23 08:58:49,2457531.87418,18.25
2016-06-11 20:58:41,2457551.37409,18.27
2016-07-17 14:19:26,2457587.09683,18.35
2016-08-27 07:51:16,2457627.82727,18.33
2016-08-27 12:04:55,2457628.00341,18.32
2016-08-27 13:51:29,2457628.07742,18.33
2016-09-13 08:01:23,2457644.83429,18.26
2016-09-13 12:15:02,2457645.01044,18.28
2016-09-13 14:01:36,2457645.08444,18.29
2016-11-12 01:53:56,2457704.57912,18.31
2016-11-12 06:07:37,2457704.75529,18.31
2016-11-12 07:54:12,2457704.82931,18.35
2016-12-04 06:14:36,2457726.76014,18.3
2016-12-04 08:01:10,2457726.83414,18.32
2017-01-05 23:54:03,2457759.49587,18.3
2017-02-11 08:15:26,2457795.84405,18.33
2017-02-25 18:34:56,2457810.27426,18.33
2017-06-03 03:37:02,2457907.65072,18.42
2017-06-03 05:23:36,2457907.72472,18.43
2017-07-29 10:50:37,2457963.95182,18.38
2017-09-17 04:27:27,2458013.68573,18.41
2017-09-17 08:41:07,2458013.86189,18.37
2017-09-17 10:27:41,2458013.93589,18.39
2017-09-17 14:41:21,2458014.11205,18.39
2017-09-17 16:27:55,2458014.18605,18.37
2017-09-17 20:41:34,2458014.3622,18.33
2017-09-17 22:28:08,2458014.4362,18.38
2017-09-18 02:41:48,2458014.61236,18.36
2017-09-18 04:28:22,2458014.68637,18.4
2017-09-18 08:42:02,2458014.86252,18.37
2017-09-18 10:28:36,2458014.93653,18.4
2017-09-18 14:42:15,2458015.11267,18.41
2017-09-18 16:28:49,2458015.18668,18.38
2017-09-18 20:42:29,2458015.36284,18.4
2017-09-19 02:42:42,2458015.61299,18.4
2017-09-21 20:45:08,2458018.36468,18.37
2017-09-22 02:45:22,2458018.61484,18.41
2017-09-22 08:45:35,2458018.86499,18.35
2017-09-22 14:45:49,2458019.11515,18.36
2017-09-22 16:32:23,2458019.18916,18.35
2017-09-22 20:46:02,2458019.3653,18.37
2017-09-22 22:32:36,2458019.43931,18.39
2017-09-23 02:46:16,2458019.61546,18.36
2017-09-23 04:32:50,2458019.68947,18.35
2017-09-23 14:46:44,2458020.11579,18.39
2017-09-23 20:46:58,2458020.36595,18.37
2017-09-23 22:33:32,2458020.43995,18.4
2017-09-24 04:33:46,2458020.69012,18.35
2017-11-23 10:27:40,2458080.93588,18.46
2017-11-23 14:41:21,2458081.11205,18.4
2017-12-19 02:40:01,2458106.61112,18.49
2017-12-19 04:26:35,2458106.68513,18.47
2018-01-16 20:24:59,2458135.35068,18.47
2018-03-07 07:32:30,2458184.81424,18.45
2018-03-07 09:19:05,2458184.88825,18.4
2018-03-07 13:32:45,2458185.06441,18.44
2018-04-24 11:49:32,2458232.99273,18.44
2018-04-24 13:36:06,2458233.06674,18.42
2018-04-24 17:49:46,2458233.24289,18.44
2018-04-24 19:36:20,2458233.3169,18.43
2018-05-01 01:41:10,2458239.57025,18.45
2018-05-01 05:54:49,2458239.7464,18.42
2018-05-01 07:41:23,2458239.82041,18.43
2018-06-14 04:41:09,2458283.69524,18.47
2018-07-11 06:14:29,2458310.76006,18.54
2018-08-10 10:13:28,2458340.92602,18.6
2018-08-10 12:00:02,2458341.00002,18.58
2018-12-04 21:52:25,2458457.4114,18.41
2019-01-02 09:40:42,2458485.90326,18.44
2019-01-02 11:27:17,2458485.97728,18.43
2019-01-27 09:31:56,2458510.89718,18.47
2019-01-27 11:18:31,2458510.97119,18.47
2019-03-10 14:21:50,2458553.0985,18.45
2019-03-10 20:22:05,2458553.34867,18.45
2019-03-10 22:08:39,2458553.42267,18.45
2019-03-16 10:13:26,2458558.926,18.47
2019-03-16 14:27:06,2458559.10215,18.43
2019-03-16 16:13:40,2458559.17616,18.44
2019-03-16 20:27:21,2458559.35233,18.44
2019-05-04 02:30:24,2458607.60444,18.35
2019-05-04 06:44:03,2458607.78059,18.32
2019-05-04 08:30:37,2458607.85459,18.34
2019-05-15 12:50:07,2458619.0348,18.35
2019-06-25 13:33:21,2458660.06483,18.28
2019-07-31 07:41:18,2458695.82035,18.37
2019-07-31 09:27:52,2458695.89435,18.35
2019-09-13 18:00:59,2458740.25068,18.36
