#Date,JD(TCB),averagemag
2014-10-28 14:40:30,2456959.11146,17.75
2014-10-28 16:27:03,2456959.18545,17.53
2015-02-23 02:17:11,2457076.59527,17.78
2015-02-23 04:03:46,2457076.66928,17.54
2015-02-23 08:17:26,2457076.84544,17.65
2015-02-23 10:04:01,2457076.91946,17.99
2015-02-23 14:17:41,2457077.09561,17.79
2015-03-09 08:28:07,2457090.85286,17.85
2015-03-09 10:14:41,2457090.92686,17.36
2015-03-09 14:28:22,2457091.10303,17.6
2015-03-09 16:14:57,2457091.17705,17.63
2015-04-17 15:52:05,2457130.16117,17.73
2015-05-23 15:16:34,2457166.1365,17.6
2015-06-10 01:35:42,2457183.56646,17.64
2015-10-05 16:27:50,2457301.186,17.64
2015-10-05 18:14:24,2457301.26,17.62
2015-11-08 15:48:12,2457335.15847,17.74
2015-12-19 23:04:04,2457376.46116,17.61
2015-12-20 03:17:43,2457376.6373,17.53
2015-12-20 05:04:17,2457376.71131,17.43
2015-12-20 09:17:56,2457376.88745,17.48
2015-12-29 09:24:52,2457385.89227,17.55
2015-12-29 15:25:05,2457386.14242,17.58
2015-12-29 17:11:39,2457386.21642,17.63
2015-12-29 21:25:18,2457386.39257,17.69
2015-12-30 03:25:32,2457386.64273,17.51
2015-12-30 05:12:06,2457386.71674,17.65
2016-03-04 03:27:13,2457451.6439,17.67
2016-03-04 05:13:47,2457451.71791,17.47
2016-03-25 09:35:09,2457472.89941,17.49
2016-03-25 11:21:44,2457472.97343,17.79
2016-04-27 23:02:15,2457506.4599,17.53
2016-06-06 08:27:59,2457545.85277,17.76
2016-06-06 10:14:34,2457545.92678,17.58
2016-06-18 22:22:14,2457558.43211,17.54
2016-06-19 02:35:55,2457558.60828,17.45
2016-09-26 11:29:53,2457657.97909,17.42
2016-09-26 13:16:27,2457658.05309,17.6
2016-10-18 23:23:07,2457680.47439,17.53
2016-11-18 16:56:33,2457711.20594,17.47
2016-11-18 18:43:06,2457711.27993,17.47
2017-03-15 01:47:19,2457827.57453,17.4
2017-03-15 06:00:59,2457827.75068,17.33
2017-06-21 10:48:18,2457925.95021,17.49
2017-06-21 12:34:53,2457926.02422,17.76
2017-06-21 16:48:34,2457926.20039,17.5
2017-06-21 18:35:08,2457926.2744,17.16
2017-06-27 22:54:10,2457932.45428,17.71
2017-06-28 00:40:45,2457932.5283,17.36
2017-06-28 04:54:25,2457932.70446,17.46
2017-10-07 03:43:07,2458033.65494,17.59
2017-11-02 07:41:43,2458059.82064,17.73
2017-11-29 19:27:58,2458087.31109,17.32
2017-11-29 21:14:31,2458087.38508,17.39
2018-03-26 07:12:10,2458203.80012,17.6
2018-03-26 08:58:44,2458203.87412,17.41
2018-04-24 19:01:06,2458233.29243,17.67
2018-04-24 20:47:41,2458233.36645,17.61
2018-05-20 06:55:16,2458258.78838,17.4
2018-08-29 04:00:27,2458359.66698,17.37
2018-08-29 05:47:01,2458359.74098,17.73
2018-09-06 22:06:19,2458368.42105,17.84
2018-09-06 23:52:53,2458368.49506,17.34
2018-09-07 04:06:32,2458368.6712,17.48
2018-10-17 21:02:14,2458409.37655,17.55
2018-10-17 22:48:47,2458409.45054,17.53
2018-11-16 20:39:17,2458439.36061,17.71
2018-11-16 22:25:50,2458439.43461,17.42
2018-12-10 14:37:02,2458463.10905,17.55
2018-12-10 16:23:35,2458463.18304,17.55
2018-12-10 20:37:15,2458463.3592,17.7
2019-04-06 14:23:22,2458580.09956,17.46
2019-04-06 16:09:57,2458580.17358,17.38
2019-05-09 08:00:16,2458612.83352,17.61
2019-05-09 09:46:50,2458612.90752,17.5
2019-05-31 02:01:08,2458634.58412,17.66
2019-11-12 02:15:18,2458799.59396,17.8
2019-11-12 06:28:57,2458799.7701,17.57
2019-12-02 13:07:20,2458820.04676,17.35
2020-03-05 07:15:15,2458913.80226,17.68
2020-03-05 09:01:50,2458913.87627,17.55
2020-03-19 13:37:54,2458928.06799,17.83
2020-04-25 15:39:37,2458965.15251,17.36
2020-04-25 17:26:11,2458965.22652,17.61
2020-05-31 23:16:48,2459001.47,17.65
2020-06-01 01:03:23,2459001.54402,17.32
2020-06-20 13:32:34,2459021.06428,17.86
2020-06-20 17:46:14,2459021.24044,17.69
2020-06-20 19:32:49,2459021.31446,17.62
2020-08-29 09:57:49,2459090.91515,17.75
2020-08-29 11:44:23,2459090.98916,17.58
2020-09-07 17:50:17,2459100.24325,17.84
2020-09-07 23:50:30,2459100.4934,17.64
2020-10-18 09:00:46,2459140.87553,17.36
2020-10-18 10:47:20,2459140.94954,17.61
2020-11-17 20:37:14,2459171.35919,17.84
2020-12-11 02:35:51,2459194.60823,17.79
2020-12-11 04:22:25,2459194.68223,17.5
2021-04-07 04:08:52,2459311.67282,17.83
2021-05-31 09:45:51,2459365.90684,17.9
2021-05-31 13:59:32,2459366.08301,17.74
2021-09-07 18:40:54,2459465.2784,17.76
2021-09-07 22:54:33,2459465.45455,17.94
2021-09-22 10:59:00,2459479.95764,18.24
2021-09-22 12:45:33,2459480.03163,18.14
2021-10-29 11:54:21,2459516.99608,18.3
2021-12-03 09:38:04,2459551.90144,18.07
2021-12-03 11:24:38,2459551.97544,18.5
2021-12-21 15:45:01,2459570.15626,18.94
2021-12-21 17:31:35,2459570.23027,19.18
2022-02-23 17:31:07,2459634.22994,20.46
2022-02-23 21:44:48,2459634.40611,20.66
2022-02-23 23:31:23,2459634.48013,20.28
2022-03-10 23:42:19,2459649.48772,20.31
