#Date,JD(TCB),averagemag
2015-01-02 15:16:15,2457025.13628,19.72
2015-01-02 21:16:30,2457025.38646,19.75
2015-01-02 23:03:04,2457025.46046,19.66
2015-01-03 05:03:19,2457025.71064,19.72
2015-01-03 09:17:00,2457025.88681,19.76
2015-01-03 11:03:34,2457025.96081,19.81
2015-01-03 15:17:15,2457026.13698,19.72
2015-01-03 23:04:05,2457026.46117,19.8
2015-02-15 08:55:10,2457068.87164,19.78
2015-02-15 10:41:45,2457068.94566,19.84
2015-03-21 02:23:03,2457102.59934,19.75
2015-03-21 04:09:38,2457102.67336,19.81
2015-07-15 17:14:14,2457219.21822,19.74
2015-07-15 19:00:47,2457219.29221,19.81
2015-10-16 17:49:23,2457312.24263,19.79
2015-10-16 22:03:02,2457312.41877,19.82
2015-10-17 04:03:15,2457312.66892,19.78
2016-01-04 22:18:01,2457392.42918,19.67
2016-01-05 00:04:36,2457392.50319,19.65
2016-01-05 04:18:17,2457392.67936,19.66
2016-01-22 16:27:53,2457410.18603,19.61
2016-01-22 18:14:28,2457410.26005,19.66
2016-02-26 10:05:36,2457444.92056,19.63
2016-04-03 15:20:54,2457482.13951,19.78
2016-08-15 06:12:43,2457615.75883,19.52
2016-09-17 05:42:18,2457648.73771,19.4
2016-09-17 07:28:52,2457648.81171,19.38
2017-01-14 01:14:48,2457767.55194,19.36
2017-02-06 07:17:54,2457790.8041,19.32
2017-03-08 06:37:33,2457820.77608,19.4
2017-04-18 11:41:08,2457861.9869,19.33
2017-04-18 13:27:42,2457862.0609,19.34
2017-04-18 17:41:23,2457862.23707,19.34
2017-04-18 19:27:57,2457862.31108,19.34
2017-04-25 05:47:09,2457868.74108,19.34
2017-04-25 07:33:43,2457868.81508,19.28
2017-04-25 11:47:24,2457868.99125,19.32
2017-08-30 02:31:08,2457995.60495,19.7
2017-09-28 14:13:53,2458025.09297,19.77
2017-09-28 16:00:27,2458025.16698,19.78
2018-01-24 20:01:53,2458143.33464,19.8
2018-01-24 21:48:28,2458143.40866,19.86
2018-03-18 19:45:36,2458196.32333,19.76
2018-03-18 21:32:10,2458196.39734,19.77
2018-06-28 22:51:48,2458298.45264,19.75
2018-06-29 00:38:22,2458298.52664,19.76
2018-06-29 04:52:01,2458298.70279,19.76
2018-06-29 06:38:35,2458298.77679,19.72
