#Date,JD(TCB),averagemag
2014-08-26 23:21:22,2456896.47317,18.36
2014-08-27 01:07:56,2456896.54718,18.32
2015-01-24 04:03:09,2457046.66885,18.24
2015-02-15 22:03:40,2457069.41921,18.25
2015-06-28 22:33:40,2457202.44005,18.14
2015-06-29 00:20:14,2457202.51405,18.15
2015-07-30 11:55:00,2457233.99653,18.14
2015-08-20 17:53:10,2457255.24525,18.13
2016-01-06 23:26:18,2457394.4766,18.2
2016-01-07 01:12:53,2457394.55061,18.17
2016-02-08 06:49:37,2457426.78446,18.19
2016-02-24 18:58:04,2457443.29032,18.2
2016-02-24 23:11:45,2457443.46649,18.2
2016-07-08 23:42:37,2457578.48793,18.25
2016-07-09 01:29:10,2457578.56192,18.26
2016-08-14 05:03:53,2457614.71103,18.3
2016-08-28 17:09:14,2457629.21475,18.26
2016-08-28 18:55:48,2457629.28875,18.25
2016-12-01 01:05:26,2457723.54544,18.27
2016-12-01 07:05:42,2457723.79563,18.29
2016-12-11 01:13:23,2457733.55096,18.27
2016-12-11 02:59:57,2457733.62497,18.26
2016-12-11 07:13:39,2457733.80115,18.29
2017-01-16 12:37:24,2457770.02597,18.28
2017-02-26 13:32:29,2457811.06422,18.27
2017-02-26 19:32:45,2457811.31441,18.28
2017-02-27 01:33:01,2457811.56459,18.26
2017-02-27 03:19:36,2457811.63861,18.26
2017-02-27 07:33:17,2457811.81478,18.29
2017-02-27 09:19:52,2457811.8888,18.3
2017-02-27 13:33:33,2457812.06497,18.29
2017-02-27 15:20:08,2457812.13898,18.28
2017-02-27 19:33:49,2457812.31515,18.28
2017-02-28 01:34:05,2457812.56534,18.3
2017-02-28 07:34:21,2457812.81552,18.27
2017-05-30 14:41:02,2457904.11183,18.32
2017-05-30 16:27:35,2457904.18582,18.32
2017-05-30 20:41:14,2457904.36197,18.34
2017-05-30 22:27:48,2457904.43597,18.35
2017-06-12 20:48:11,2457917.36679,18.35
2017-06-12 22:34:45,2457917.4408,18.29
2017-06-13 02:48:24,2457917.61694,18.32
2017-07-20 02:13:56,2457954.59301,18.33
2017-07-20 04:00:30,2457954.66701,18.33
2017-12-08 21:29:48,2458096.39569,18.4
2017-12-08 23:16:22,2458096.4697,18.38
2017-12-26 09:35:08,2458113.8994,18.39
2017-12-26 11:21:43,2458113.97341,18.37
2018-01-26 21:11:04,2458145.38269,18.39
2018-01-26 22:57:39,2458145.4567,18.4
2018-06-08 03:45:57,2458277.65691,18.42
2018-06-08 05:32:31,2458277.73091,18.43
2018-06-29 17:32:59,2458299.23124,18.41
2018-07-31 03:22:18,2458330.64049,18.39
2018-07-31 05:08:51,2458330.71448,18.42
2018-12-18 06:22:44,2458470.76579,18.3
2019-01-09 22:33:21,2458493.43983,18.28
2019-01-10 00:19:55,2458493.51383,18.3
2019-02-06 04:22:07,2458520.68203,18.27
2019-06-18 10:53:45,2458652.95399,18.31
2019-07-15 10:42:17,2458679.94603,18.29
2019-08-10 19:09:56,2458706.29856,18.32
2019-08-10 20:56:30,2458706.37257,18.33
2019-12-19 18:34:47,2458837.27416,18.31
2020-02-08 00:50:35,2458887.53513,18.29
2020-06-27 22:00:50,2459028.41725,18.25
2020-06-27 23:47:24,2459028.49125,18.3
2020-07-27 12:55:20,2459058.03843,18.29
2020-07-31 17:07:35,2459062.2136,18.3
2020-12-18 12:21:20,2459202.01481,18.3
2021-01-10 18:17:41,2459225.26228,18.3
2021-02-06 16:21:12,2459252.18139,18.29
2021-06-18 22:52:34,2459384.45317,18.29
2021-07-16 06:26:16,2459411.76824,18.25
2021-08-11 06:14:44,2459437.76023,18.17
2021-12-28 11:43:48,2459576.98875,18.05
2021-12-28 13:30:23,2459577.06277,18.05
2022-01-25 07:16:18,2459604.80299,18.1
2022-02-16 11:31:10,2459626.97998,18.06
2022-06-29 18:01:15,2459760.25087,18.1
2022-06-29 19:47:49,2459760.32487,18.09
2022-07-31 17:34:47,2459792.23249,18.11
2022-08-21 07:20:12,2459812.80569,18.13
