#Date,JD(TCB),averagemag
2014-12-31 00:59:45,2457022.54149,19.36
2014-12-31 02:46:19,2457022.6155,19.35
2015-01-17 01:02:34,2457039.54345,19.37
2015-01-17 02:49:08,2457039.61745,19.37
2015-07-07 09:18:45,2457210.88802,19.39
2015-07-07 13:32:27,2457211.0642,19.41
2015-08-29 01:20:58,2457263.55623,19.46
2016-01-08 21:51:40,2457396.41088,19.51
2016-01-31 21:44:03,2457419.40559,19.5
2016-07-16 16:27:48,2457586.18597,19.55
2017-01-17 21:12:35,2457771.38374,19.8
2017-02-14 12:00:45,2457799.00052,19.78
2017-03-08 22:07:48,2457821.42208,19.85
2017-03-08 23:54:22,2457821.49609,19.81
2017-07-27 11:14:34,2457961.96845,19.83
2017-09-17 06:49:39,2458013.78448,19.81
2017-09-17 11:03:21,2458013.96066,19.81
2018-01-28 01:29:37,2458146.56223,19.9
2018-03-01 11:08:55,2458178.96453,19.87
2018-03-17 23:12:09,2458195.46677,19.91
2018-03-18 00:58:42,2458195.54076,19.86
2018-08-07 08:12:33,2458337.84205,19.76
2018-09-13 11:58:48,2458374.99917,19.89
2018-09-13 13:45:23,2458375.07318,19.86
2018-09-13 17:59:04,2458375.24935,19.85
2018-09-25 06:08:01,2458386.75557,19.87
2018-09-25 07:54:36,2458386.82958,19.91
2018-09-25 12:08:17,2458387.00575,19.84
2018-12-24 19:27:46,2458477.31095,19.95
2018-12-24 21:14:20,2458477.38495,19.97
2018-12-25 01:27:59,2458477.5611,19.97
2018-12-25 03:14:33,2458477.6351,19.97
2018-12-25 07:28:12,2458477.81125,19.92
2018-12-25 09:14:45,2458477.88524,20.0
2018-12-31 03:19:01,2458483.63821,20.02
2018-12-31 09:19:13,2458483.88834,20.01
2018-12-31 13:32:52,2458484.06449,19.97
2019-02-07 12:51:28,2458522.03574,19.97
2019-02-07 14:38:02,2458522.10975,20.07
2019-03-18 01:52:49,2458560.57834,19.96
2019-03-18 06:06:28,2458560.75449,19.9
2019-03-18 07:53:01,2458560.82848,19.95
2019-03-18 12:06:40,2458561.00463,19.88
2019-03-18 13:53:14,2458561.07863,19.91
2019-03-24 06:10:58,2458566.75762,19.86
2019-03-24 07:57:31,2458566.83161,19.81
2019-03-24 12:11:10,2458567.00775,19.96
2019-03-24 13:57:44,2458567.08176,19.88
2019-06-28 15:41:55,2458663.15411,19.88
2019-06-28 19:55:36,2458663.33028,19.9
2019-06-28 21:42:11,2458663.40429,19.82
2019-07-13 09:51:16,2458677.9106,19.78
2019-08-12 04:43:35,2458707.69693,19.73
2019-09-22 00:45:07,2458748.53133,19.62
2019-09-22 06:45:22,2458748.7815,19.68
2019-09-22 08:31:57,2458748.85552,19.72
2019-09-22 12:45:38,2458749.03169,19.64
2019-09-22 14:32:13,2458749.10571,19.62
2019-09-22 20:32:29,2458749.35589,19.72
2019-09-26 14:36:38,2458753.10877,19.66
2019-09-26 18:50:19,2458753.28494,19.6
2019-09-26 20:36:54,2458753.35896,19.71
2019-09-27 00:50:35,2458753.53513,19.67
2019-09-27 02:37:10,2458753.60914,19.6
2019-09-27 06:50:51,2458753.78531,19.61
2019-12-29 08:05:20,2458846.83704,19.54
2020-01-12 16:10:50,2458861.17419,19.61
2020-02-15 05:42:34,2458894.73789,19.59
2020-07-01 07:23:36,2459031.80806,19.57
2020-07-20 01:55:51,2459050.58045,19.49
2020-08-07 20:11:34,2459069.34137,19.45
2020-09-14 19:43:48,2459107.32208,19.52
2020-09-25 06:05:58,2459117.75414,19.59
2020-09-25 07:52:33,2459117.82816,19.54
2020-09-25 12:06:14,2459118.00433,19.54
2020-09-25 13:52:49,2459118.07834,19.54
2020-12-24 13:25:15,2459208.0592,19.69
2020-12-24 15:11:48,2459208.13319,19.69
2020-12-24 19:25:27,2459208.30934,19.68
2021-01-01 15:17:21,2459216.13705,19.66
2021-01-01 19:30:59,2459216.31318,19.72
2021-01-01 21:17:33,2459216.38719,19.63
2021-02-08 00:50:11,2459253.53485,19.7
2021-03-19 13:51:04,2459293.07713,19.74
2021-03-19 18:04:43,2459293.25328,19.68
2021-03-19 19:51:17,2459293.32728,19.73
2021-03-20 00:04:56,2459293.50343,19.73
2021-03-20 01:51:30,2459293.57743,19.73
2021-03-20 06:05:09,2459293.75358,19.63
2021-03-23 06:07:33,2459296.75524,19.64
2021-03-23 12:07:45,2459297.00538,19.66
2021-03-23 13:54:19,2459297.07939,19.79
2021-03-23 18:07:57,2459297.25552,19.68
2021-03-24 00:08:10,2459297.50567,19.71
2021-03-24 01:54:44,2459297.57968,19.68
2021-03-24 06:08:23,2459297.75582,19.71
2021-03-24 07:54:57,2459297.82983,19.71
2021-06-28 21:40:08,2459394.40287,19.51
2021-06-29 03:40:24,2459394.65306,19.51
2021-07-14 14:02:56,2459410.08537,19.44
2021-07-14 15:49:31,2459410.15939,19.49
2021-08-18 21:23:28,2459445.3913,19.27
2021-12-31 10:13:07,2459579.92578,18.89
2021-12-31 14:26:46,2459580.10192,18.93
2021-12-31 16:13:19,2459580.17591,18.95
2022-01-18 04:15:14,2459597.67725,18.93
2022-01-18 08:28:53,2459597.85339,18.9
2022-02-18 07:58:13,2459628.83209,18.97
2022-02-18 09:44:47,2459628.9061,18.93
2022-07-08 02:59:37,2459768.62473,18.87
2022-07-08 04:46:12,2459768.69875,18.9
2022-07-30 09:02:41,2459790.87686,18.9
2022-07-30 10:49:16,2459790.95088,18.9
2022-08-29 16:34:59,2459821.19096,18.96
2022-08-29 20:48:41,2459821.36714,18.89
