#Date,JD(TCB),averagemag
2015-03-23 07:48:28,2457104.82532,15.04
2015-04-17 23:48:54,2457130.49229,15.01
2015-04-18 01:35:27,2457130.56628,15.01
2015-09-05 18:50:35,2457271.28513,14.99
2015-10-04 00:39:36,2457299.5275,14.98
2015-10-04 02:26:11,2457299.60152,14.96
2015-10-27 02:25:53,2457322.60131,14.93
2015-10-27 06:39:34,2457322.77748,14.97
2016-03-07 01:22:16,2457454.55713,15.03
2016-03-07 03:08:50,2457454.63113,15.01
2016-04-06 06:56:29,2457484.78922,15.09
2016-09-15 08:01:32,2457646.8344,15.23
2016-09-15 09:48:07,2457646.90841,15.23
2016-10-18 07:39:04,2457679.8188,15.04
2016-10-18 09:25:39,2457679.89281,15.04
2016-11-04 03:33:13,2457696.64807,15.09
2016-11-04 07:46:54,2457696.82424,15.07
2016-11-04 09:33:29,2457696.89825,15.07
2017-03-17 15:53:12,2457830.16194,15.24
2017-03-17 17:39:46,2457830.23595,15.23
2017-04-21 23:01:16,2457865.45921,15.34
2017-04-22 03:14:55,2457865.63536,15.32
2017-05-05 09:20:47,2457878.88943,15.08
2017-05-05 11:07:20,2457878.96343,15.07
2017-05-05 15:20:59,2457879.13957,15.08
2017-05-05 17:07:33,2457879.21358,15.08
2017-08-10 00:47:08,2457975.53273,14.98
2017-08-10 05:00:49,2457975.7089,14.95
2017-08-10 06:47:24,2457975.78292,14.95
2017-08-10 11:01:05,2457975.95909,14.95
2017-08-10 17:01:21,2457976.20927,14.97
2017-08-17 05:07:30,2457982.71354,15.0
2017-08-17 06:54:05,2457982.78756,14.99
2017-08-17 11:07:46,2457982.96373,15.0
2017-09-26 04:35:44,2458022.69148,15.34
2017-09-26 06:22:19,2458022.7655,15.33
2017-11-04 16:04:41,2458062.16992,15.41
2017-11-04 17:51:16,2458062.24394,15.39
2017-11-04 22:04:58,2458062.42012,15.41
2017-11-04 23:51:32,2458062.49412,15.37
2017-11-05 04:05:13,2458062.67029,15.37
2017-11-05 05:51:48,2458062.74431,15.36
2017-11-09 17:56:14,2458067.24738,15.05
2017-11-09 22:09:55,2458067.42355,15.04
2017-11-09 23:56:30,2458067.49757,15.04
2017-11-10 04:10:11,2458067.67374,15.02
2017-11-10 05:56:45,2458067.74774,15.03
2017-11-10 10:10:27,2458067.92392,15.01
2017-11-10 11:57:01,2458067.99793,15.01
2018-02-08 11:33:36,2458157.98167,14.93
2018-02-08 13:20:10,2458158.05567,14.94
2018-02-08 17:33:49,2458158.23182,14.94
2018-02-08 19:20:23,2458158.30582,14.94
2018-03-28 06:48:13,2458205.78348,14.93
2018-08-17 06:02:17,2458347.75159,14.95
2018-08-17 07:48:52,2458347.8256,14.95
2018-09-03 18:10:06,2458365.25701,14.91
2018-09-03 19:56:41,2458365.33103,14.95
2018-10-06 23:47:25,2458398.49126,15.03
2019-02-16 14:23:24,2458531.09958,15.28
2019-03-08 14:22:31,2458551.09897,15.68
2019-04-08 00:10:06,2458581.50701,15.4
2019-08-21 13:02:09,2458717.04316,15.67
2019-08-21 17:15:51,2458717.21934,15.7
2019-09-11 19:43:23,2458738.32179,15.17
2019-10-12 03:05:39,2458768.62892,15.29
2020-02-22 22:39:49,2458902.44432,15.23
2020-02-23 00:26:23,2458902.51832,15.25
2020-03-17 05:25:19,2458925.72591,15.55
2020-04-14 00:28:21,2458953.51969,15.19
2020-08-17 12:00:42,2459079.00049,15.26
2020-08-17 13:47:17,2459079.0745,15.27
2020-09-04 19:54:42,2459097.32965,15.54
2020-10-07 11:46:27,2459129.99059,15.32
2021-02-17 00:35:25,2459262.52459,15.32
2021-02-17 02:21:59,2459262.5986,15.3
2021-03-09 12:33:32,2459283.02329,15.19
2021-03-09 14:20:06,2459283.09729,15.18
2021-08-27 01:08:13,2459453.54737,15.11
2021-08-27 02:54:48,2459453.62139,15.11
2021-09-20 02:53:51,2459477.62073,15.21
2021-10-17 20:43:47,2459505.36374,14.92
2022-02-26 13:41:51,2459637.07073,16.3
2022-02-26 15:28:25,2459637.14473,16.37
2022-03-24 09:14:32,2459662.88509,15.03
2022-04-18 19:16:18,2459688.30299,15.41
2022-04-18 21:02:52,2459688.37699,15.41
2022-09-06 10:04:38,2459828.91988,15.26
2022-10-05 03:52:37,2459857.66154,15.25
