#Date,JD(TCB),averagemag
2014-08-29 13:48:26,2456899.0753,14.61
2014-11-18 03:16:20,2456979.63634,14.63
2014-11-18 05:02:54,2456979.71035,14.62
2014-11-18 09:16:34,2456979.8865,14.61
2014-11-18 11:03:08,2456979.96051,14.61
2014-11-22 17:06:48,2456984.21306,14.61
2014-11-22 21:20:27,2456984.3892,14.62
2014-11-22 23:07:02,2456984.46322,14.61
2014-11-23 03:20:41,2456984.63936,14.62
2014-11-23 05:07:16,2456984.71338,14.62
2015-01-06 03:37:47,2457028.65124,14.61
2015-01-26 03:34:06,2457048.64868,14.61
2015-04-09 02:28:06,2457121.60285,14.58
2015-04-09 06:41:46,2457121.779,14.61
2015-04-09 08:28:20,2457121.85301,14.59
2015-04-09 12:41:59,2457122.02916,14.59
2015-04-26 18:51:56,2457139.28606,14.59
2015-04-26 20:38:30,2457139.36007,14.56
2015-04-27 00:52:10,2457139.53623,14.61
2015-04-27 08:38:58,2457139.86039,14.57
2015-06-23 18:41:35,2457197.27888,14.61
2015-06-23 20:28:09,2457197.35288,14.61
2015-06-24 00:41:50,2457197.52905,14.63
2015-07-19 08:33:12,2457222.85639,14.62
2015-08-21 14:16:16,2457256.09463,14.62
2015-09-28 23:40:51,2457294.4867,14.64
2015-09-29 01:27:26,2457294.56072,14.62
2015-10-13 19:33:29,2457309.31492,14.62
2015-10-13 23:47:10,2457309.49109,14.64
2015-11-28 16:09:32,2457355.17329,14.63
2015-11-28 17:56:06,2457355.24729,14.62
2015-12-05 10:14:41,2457361.92686,14.62
2015-12-05 12:01:15,2457362.00087,14.62
2015-12-05 16:14:55,2457362.17703,14.63
2016-02-08 20:43:37,2457427.36362,14.63
2016-03-10 14:18:51,2457458.09642,14.59
2016-04-26 21:40:30,2457505.40313,14.6
2016-04-27 01:54:10,2457505.57928,14.59
2016-04-27 03:40:44,2457505.65329,14.63
2016-04-27 07:54:24,2457505.82944,14.61
2016-04-27 09:40:58,2457505.90345,14.61
2016-04-27 13:54:37,2457506.07959,14.61
2016-05-08 20:03:45,2457517.33594,14.62
2016-05-08 21:50:20,2457517.40995,14.61
2016-05-09 02:03:59,2457517.5861,14.6
2016-05-09 03:50:33,2457517.6601,14.61
2016-05-09 08:04:13,2457517.83626,14.62
2016-05-09 09:50:47,2457517.91027,14.62
2016-05-09 14:04:28,2457518.08644,14.59
2016-05-09 15:51:02,2457518.16044,14.61
2017-10-24 22:42:38,2458051.44627,14.6
2017-10-25 02:56:19,2458051.62244,14.6
2017-10-25 04:42:53,2458051.69645,14.6
2017-11-01 21:02:21,2458059.37663,14.62
2017-11-01 22:48:56,2458059.45065,14.61
2017-11-02 03:02:36,2458059.62681,14.62
2017-12-17 07:21:40,2458104.80671,14.61
2017-12-17 09:08:14,2458104.88072,14.6
2017-12-30 13:26:12,2458118.05986,14.61
2017-12-30 15:12:46,2458118.13387,14.6
2018-02-06 00:25:20,2458155.51759,14.62
2018-02-06 02:11:54,2458155.5916,14.63
2018-03-08 07:48:46,2458185.82553,14.6
2018-03-08 12:02:25,2458186.00168,14.6
2018-04-02 23:59:51,2458211.4999,14.63
2018-04-03 01:46:25,2458211.5739,14.61
2018-05-29 19:32:35,2458268.31429,14.62
2018-05-29 23:46:15,2458268.49045,14.62
2018-05-30 01:32:50,2458268.56447,14.61
2018-05-30 05:46:30,2458268.74063,14.6
2018-06-15 05:58:26,2458284.74891,14.6
2018-06-15 11:58:41,2458284.99909,14.61
2018-06-15 13:45:15,2458285.07309,14.6
2018-07-29 07:25:01,2458328.80904,14.62
2018-09-01 05:13:24,2458362.71764,14.61
2018-09-01 06:59:59,2458362.79166,14.62
2018-11-06 15:51:08,2458429.16051,14.61
2018-11-06 21:51:23,2458429.41068,14.66
2018-11-06 23:37:57,2458429.48469,14.63
2018-11-11 23:42:18,2458434.48771,14.62
2018-12-27 08:19:47,2458479.84707,14.63
2019-01-12 20:20:59,2458496.34791,14.64
2019-01-12 22:07:32,2458496.4219,14.62
2019-02-17 01:31:47,2458531.56374,14.6
2019-02-17 03:18:20,2458531.63773,14.6
2019-03-23 19:04:13,2458566.29459,14.63
2019-03-23 20:50:47,2458566.3686,14.61
2019-04-14 19:09:51,2458588.29851,14.61
2019-04-14 20:56:25,2458588.37251,14.6
2019-04-15 01:10:04,2458588.54866,14.6
2019-04-15 02:56:39,2458588.62267,14.6
2019-06-11 14:44:48,2458646.11444,14.63
2019-06-11 18:58:29,2458646.29061,14.61
2019-06-11 20:45:03,2458646.36462,14.59
2019-07-03 07:09:14,2458667.79808,14.62
2019-07-03 08:55:49,2458667.87209,14.6
2019-08-22 06:08:29,2458717.75589,14.63
2019-09-27 05:57:08,2458753.74801,14.6
2019-09-27 07:43:43,2458753.82203,14.61
2019-10-19 02:18:49,2458775.5964,14.61
2019-10-19 06:32:30,2458775.77257,14.62
2019-10-19 08:19:04,2458775.84657,14.6
2019-12-13 14:31:04,2458831.10491,14.59
2019-12-13 16:17:38,2458831.17891,14.6
2020-01-03 03:00:45,2458851.62552,14.61
2020-01-03 04:47:19,2458851.69953,14.61
2020-02-07 10:30:04,2458886.93755,14.65
2020-02-07 12:16:38,2458887.01155,14.6
2020-03-13 08:02:00,2458921.83472,14.62
2020-03-31 06:46:00,2458939.78194,14.6
2020-03-31 08:32:34,2458939.85595,14.61
2020-05-16 23:30:52,2458986.47977,14.61
2020-05-17 03:44:32,2458986.65593,14.6
2020-05-17 05:31:06,2458986.72993,14.61
2020-05-17 09:44:46,2458986.90609,14.6
2020-05-21 21:49:26,2458991.40933,14.59
2020-05-21 23:36:00,2458991.48333,14.6
2020-05-22 03:49:40,2458991.65949,14.6
2020-05-22 05:36:14,2458991.7335,14.63
2020-07-08 00:44:37,2459038.53098,14.63
2020-07-29 23:37:32,2459060.4844,14.63
