#Date,JD(TCB),averagemag
2015-02-14 22:50:57,2457068.45205,18.35
2015-03-23 08:22:34,2457104.849,18.21
2015-03-23 10:09:09,2457104.92302,18.23
2015-07-13 00:54:26,2457216.5378,18.33
2015-09-04 16:33:55,2457270.19022,18.67
2015-09-04 18:20:29,2457270.26422,18.66
2016-01-04 16:27:06,2457392.18549,18.42
2016-01-04 18:13:41,2457392.2595,18.42
2016-01-25 18:19:26,2457413.2635,18.38
2016-02-25 16:14:22,2457444.17664,18.42
2016-02-25 18:00:57,2457444.25066,18.39
2016-04-06 21:21:12,2457485.38972,18.11
2016-04-06 23:07:47,2457485.46374,18.1
2016-04-07 03:21:27,2457485.6399,18.12
2016-04-07 05:08:02,2457485.71391,18.09
2016-04-07 11:08:17,2457485.96409,18.11
2016-04-12 05:12:45,2457490.71719,18.12
2016-04-12 09:26:26,2457490.89336,18.13
2016-04-12 11:13:00,2457490.96736,18.12
2016-04-12 15:26:41,2457491.14353,18.14
2016-07-22 12:11:23,2457592.00791,18.4
2016-08-15 18:03:21,2457616.25233,18.33
2016-09-14 23:42:58,2457646.48817,18.31
2016-09-15 01:29:32,2457646.56218,18.3
2017-01-13 23:37:45,2457767.48455,18.11
2017-01-14 01:24:20,2457767.55856,18.06
2017-03-07 06:45:41,2457819.78172,18.3
2017-08-02 08:39:19,2457967.86064,18.25
2017-08-02 10:25:53,2457967.93464,18.26
2017-08-30 20:22:09,2457996.34872,18.24
2018-01-24 14:11:18,2458143.09118,18.2
2018-01-24 15:57:53,2458143.1652,18.18
2018-03-17 13:52:46,2458195.07831,18.34
2018-03-17 15:39:21,2458195.15233,18.31
2018-06-25 06:26:43,2458294.76855,18.43
2018-06-25 12:26:56,2458295.0187,18.51
2018-07-02 04:45:25,2458301.69821,18.48
2018-08-13 09:46:08,2458343.90704,18.43
2018-08-13 11:32:41,2458343.98103,18.46
2018-09-15 05:06:39,2458376.71295,18.41
2018-10-06 09:23:27,2458397.89128,18.43
2018-10-06 11:10:01,2458397.96529,18.41
2018-10-06 15:23:40,2458398.14144,18.43
2018-10-06 17:10:14,2458398.21544,18.42
2019-02-04 09:22:24,2458518.89056,18.54
2019-02-04 11:08:59,2458518.96457,18.53
2019-03-27 14:57:38,2458570.12336,18.52
2019-07-03 11:36:03,2458667.98337,18.43
2019-07-03 13:22:37,2458668.05737,18.41
2019-08-08 20:06:14,2458704.33766,18.47
2019-09-12 09:40:05,2458738.90284,18.12
2019-09-12 11:26:39,2458738.97684,18.06
2019-09-30 16:10:05,2458757.17367,18.09
2019-09-30 17:56:38,2458757.24766,18.05
2020-01-02 22:34:16,2458851.44046,18.38
2020-01-03 00:20:51,2458851.51448,18.35
2020-01-16 16:56:18,2458865.20576,18.45
2020-01-16 18:42:52,2458865.27977,18.45
2020-03-30 14:37:04,2458939.10907,18.4
2020-03-30 16:23:39,2458939.18309,18.4
2020-04-11 10:38:10,2458950.94317,18.23
2020-04-11 14:51:51,2458951.11934,18.25
2020-04-11 16:38:26,2458951.19336,18.24
2020-04-11 20:52:07,2458951.36953,18.3
2020-04-11 22:38:41,2458951.44353,18.31
2020-04-12 02:52:22,2458951.6197,18.34
2020-06-26 10:56:25,2459026.95584,18.43
2020-06-26 12:42:59,2459027.02985,18.41
2020-06-26 16:56:38,2459027.206,18.41
2020-07-12 01:01:12,2459042.5425,18.38
2020-07-12 05:14:51,2459042.71865,18.37
2020-07-12 07:01:25,2459042.79265,18.36
2020-08-13 21:44:46,2459075.40609,18.38
2020-08-13 23:31:20,2459075.48009,18.39
2020-09-16 05:04:38,2459108.71155,18.39
2020-09-16 09:18:17,2459108.8877,18.38
2020-10-06 21:22:17,2459129.39047,18.35
2020-10-06 23:08:51,2459129.46448,18.35
2021-02-04 21:21:25,2459250.38987,18.2
2021-02-04 23:08:00,2459250.46389,18.19
2021-03-10 02:51:24,2459283.61903,18.08
2021-03-10 04:37:59,2459283.69304,18.12
2021-03-27 22:42:21,2459301.44608,18.26
2021-07-03 23:34:04,2459399.48199,18.24
2021-07-04 01:20:38,2459399.556,18.24
2021-07-18 19:25:24,2459414.30931,18.36
2021-07-18 23:39:02,2459414.48544,18.36
2021-08-25 04:52:46,2459451.70331,18.32
2021-08-25 06:39:19,2459451.7773,18.35
2021-10-03 16:21:08,2459491.18134,18.48
2021-10-03 18:07:42,2459491.25535,18.48
2021-10-04 00:07:55,2459491.5055,18.49
2021-10-15 10:29:08,2459502.9369,18.05
2021-10-15 12:15:42,2459503.0109,18.07
2021-10-15 16:29:21,2459503.18705,18.09
2021-10-15 18:15:55,2459503.26105,18.03
2021-12-27 00:31:58,2459575.5222,17.86
2021-12-27 04:45:39,2459575.69837,17.82
2021-12-27 06:32:13,2459575.77237,17.81
2021-12-27 10:45:54,2459575.94854,17.79
2022-01-10 22:55:52,2459590.45546,17.69
2022-01-11 00:42:27,2459590.52948,17.66
2022-02-15 18:18:39,2459626.26295,18.03
2022-03-24 15:49:15,2459663.1592,17.3
2022-03-24 17:35:50,2459663.23322,17.31
2022-04-06 03:56:53,2459675.6645,16.88
2022-04-06 05:43:28,2459675.73852,16.9
2022-07-13 18:34:51,2459774.2742,17.83
2022-08-02 20:20:35,2459794.34763,17.79
2022-09-05 12:01:24,2459828.00097,17.82
2022-09-05 13:47:58,2459828.07498,17.87
