#Date,JD(TCB),averagemag
2015-04-15 15:12:20,2457128.13356,20.28
2015-10-05 11:04:52,2457300.96171,20.01
2016-01-21 12:54:07,2457409.03758,19.05
2016-01-21 17:07:48,2457409.21375,19.2
2016-01-21 23:08:04,2457409.46394,19.41
2016-01-22 00:54:39,2457409.53795,19.35
2016-01-22 05:08:20,2457409.71412,19.54
2016-01-25 23:12:04,2457413.46671,20.53
2016-01-26 00:58:39,2457413.54073,20.42
2016-01-26 05:12:20,2457413.7169,20.53
2016-01-26 06:58:54,2457413.7909,20.61
2016-01-26 11:12:35,2457413.96707,20.57
2016-01-26 12:59:10,2457414.04109,20.51
2016-04-12 22:07:38,2457491.42197,19.76
2016-04-12 23:54:13,2457491.49598,19.88
2016-04-13 04:07:54,2457491.67215,20.1
2016-04-13 05:54:29,2457491.74617,20.05
2016-07-24 05:34:13,2457593.73209,20.51
2016-07-24 13:20:59,2457594.05624,20.68
2016-08-03 17:41:03,2457604.23684,19.41
2016-09-11 00:49:49,2457642.53459,20.81
2017-01-26 19:53:30,2457780.32882,20.47
2017-03-16 13:10:41,2457829.04909,20.56
2017-08-01 01:59:40,2457966.5831,20.5
2017-08-01 03:46:13,2457966.65709,20.53
2019-04-06 05:18:46,2458579.72137,20.93
2020-09-06 04:41:15,2459098.69531,20.55
2021-02-14 17:29:11,2459260.2286,20.46
2021-02-14 21:42:53,2459260.40478,20.62
2021-10-12 15:46:36,2459500.15736,20.55
2022-02-25 00:39:37,2459635.52751,20.49
2022-03-29 04:31:38,2459667.68863,20.53
2022-03-29 06:18:12,2459667.76264,20.48
2022-04-16 00:25:53,2459685.51797,17.48
2022-04-16 04:39:34,2459685.69414,17.41
2022-09-01 19:08:27,2459824.29753,20.51
2022-10-06 16:44:40,2459859.19769,20.11
2022-10-06 18:31:14,2459859.27169,20.06
2022-10-21 10:49:53,2459873.95131,20.59
