#Date,JD(TCB),averagemag
2015-03-31 02:08:14,2457112.58905,13.68
2015-04-22 00:23:11,2457134.5161,13.46
2015-04-22 02:09:44,2457134.59009,13.44
2015-08-28 06:31:21,2457262.77177,13.76
2015-08-28 08:17:56,2457262.84579,13.76
2015-09-30 12:06:21,2457296.00441,13.81
2015-09-30 13:52:56,2457296.07843,13.8
2015-10-19 18:09:58,2457315.25692,13.77
2016-01-21 10:27:29,2457408.93575,13.68
2016-01-21 14:41:08,2457409.1119,13.67
2016-01-21 16:27:42,2457409.1859,13.69
2016-02-02 02:46:26,2457420.61558,13.65
2016-02-02 04:33:00,2457420.68958,13.63
2016-03-09 21:41:01,2457457.40348,13.79
2016-04-15 15:08:57,2457494.13122,13.73
2016-04-15 19:22:36,2457494.30736,13.68
2016-04-15 21:09:10,2457494.38137,13.7
2016-04-30 09:17:13,2457508.88696,13.31
2016-04-30 13:30:52,2457509.0631,13.23
2016-04-30 15:17:26,2457509.13711,13.3
2017-10-29 15:25:34,2458056.14275,13.79
2017-10-29 21:25:49,2458056.39293,13.8
2017-10-29 23:12:24,2458056.46694,13.79
2017-11-04 09:30:56,2458061.89648,13.81
2017-11-04 11:17:30,2458061.97049,13.81
2017-11-04 17:17:46,2458062.22067,13.82
2018-03-01 19:44:32,2458179.32259,13.65
2018-03-31 19:20:30,2458209.3059,13.77
2018-08-06 01:23:06,2458336.55771,13.51
2018-08-06 05:36:48,2458336.73389,13.49
2018-09-01 01:23:09,2458362.55774,13.8
2018-09-29 11:25:26,2458390.976,13.82
2019-02-18 01:09:41,2458532.54839,13.71
2019-03-16 06:53:22,2458558.78706,13.63
2019-03-16 08:39:56,2458558.86106,13.63
2019-04-11 18:43:05,2458585.27992,13.55
2019-04-11 20:29:38,2458585.35391,13.56
2019-08-23 04:45:56,2458718.69856,13.8
2019-09-19 17:54:17,2458746.24603,13.84
2019-10-16 00:53:24,2458772.53708,13.71
2020-03-14 01:38:51,2458922.56865,12.58
2020-04-06 08:25:58,2458945.85137,13.21
2020-07-17 02:51:53,2459047.61936,13.78
2020-07-17 07:05:33,2459047.79552,13.79
2020-07-17 08:52:08,2459047.86954,13.8
2020-07-17 13:05:49,2459048.04571,13.79
2020-07-17 14:52:23,2459048.11971,13.82
2020-07-17 19:06:04,2459048.29588,13.79
2020-07-17 20:52:38,2459048.36988,13.8
2020-07-18 01:06:19,2459048.54605,13.8
2020-07-18 02:52:54,2459048.62007,13.76
2020-07-18 07:06:35,2459048.79624,13.77
2020-07-18 08:53:09,2459048.87024,13.82
2020-07-18 13:06:50,2459049.04641,13.77
2020-07-18 14:53:25,2459049.12043,13.82
2020-07-18 19:07:06,2459049.2966,13.79
2020-07-18 20:53:40,2459049.3706,13.81
2020-07-19 01:07:21,2459049.54677,13.83
2020-07-19 02:53:56,2459049.62079,13.82
2020-07-19 07:07:36,2459049.79694,13.8
2020-07-19 08:54:11,2459049.87096,13.79
2020-07-19 13:07:52,2459050.04713,13.8
2020-07-19 14:54:26,2459050.12113,13.8
2020-07-19 19:08:07,2459050.2973,13.78
2020-07-19 20:54:41,2459050.37131,13.8
2020-08-06 13:22:07,2459068.05703,13.66
2020-08-06 17:35:48,2459068.23319,13.72
2020-09-01 23:34:41,2459094.48242,12.93
2020-09-02 01:21:16,2459094.55644,12.95
2020-09-29 23:24:12,2459122.47514,13.68
2021-03-17 02:37:25,2459290.60932,13.71
2021-04-12 06:41:52,2459316.77907,13.78
2021-04-12 08:28:26,2459316.85308,13.77
2021-08-17 18:47:22,2459444.28289,13.66
2021-08-17 20:33:57,2459444.35691,13.66
2021-09-17 00:34:24,2459474.52389,13.88
2021-09-17 02:20:59,2459474.59791,13.91
2021-10-10 08:18:12,2459497.84597,13.79
2022-01-15 09:13:46,2459594.88456,13.73
2022-01-15 11:00:20,2459594.95856,13.72
2022-01-15 15:13:59,2459595.13471,13.72
2022-01-15 17:00:33,2459595.20872,13.69
2022-01-15 21:14:12,2459595.38486,13.7
2022-01-15 23:00:46,2459595.45887,13.71
2022-01-16 03:14:25,2459595.63501,13.71
2022-01-16 05:00:59,2459595.70902,13.69
2022-01-16 09:14:38,2459595.88516,13.7
2022-01-16 11:01:12,2459595.95917,13.7
2022-01-16 15:14:51,2459596.13531,13.71
2022-01-16 17:01:25,2459596.20932,13.69
2022-01-16 23:01:37,2459596.45946,13.71
2022-01-17 03:15:16,2459596.6356,13.69
2022-01-17 05:01:50,2459596.70961,13.69
2022-01-17 09:15:29,2459596.88575,13.67
2022-01-17 11:02:03,2459596.95976,13.66
2022-01-17 15:15:42,2459597.1359,13.63
2022-01-17 17:02:16,2459597.20991,13.65
2022-01-17 21:15:55,2459597.38605,13.63
2022-01-17 23:02:29,2459597.46006,13.62
2022-01-18 03:16:08,2459597.6362,13.65
2022-01-18 05:02:42,2459597.71021,13.66
2022-01-18 09:16:21,2459597.88635,13.67
2022-02-28 22:00:54,2459639.41729,13.87
2022-04-01 07:48:16,2459670.82519,13.75
2022-04-01 09:34:49,2459670.89918,13.77
2022-04-22 19:50:42,2459692.32688,11.6
2022-04-22 21:37:16,2459692.40088,11.58
2022-08-29 01:59:05,2459820.5827,13.83
2022-08-29 03:45:40,2459820.65671,13.83
2022-10-01 15:19:20,2459854.13843,13.66
2022-10-20 07:36:50,2459872.81725,13.04
