#Date,JD(TCB),averagemag
2014-11-16 00:39:51,2456977.52767,19.66
2015-01-14 17:08:31,2457037.21425,19.64
2015-01-14 18:55:05,2457037.28825,19.61
2015-01-25 11:14:54,2457047.96868,19.59
2015-01-25 13:01:29,2457048.0427,19.6
2015-03-07 09:59:41,2457088.91645,19.55
2015-03-30 15:54:55,2457112.16314,19.78
2015-03-30 17:41:30,2457112.23715,19.74
2015-07-05 03:23:53,2457208.64159,19.72
2015-07-05 05:10:27,2457208.71559,19.68
2015-07-05 09:24:07,2457208.89175,19.69
2015-08-25 03:04:01,2457259.62779,19.71
2015-11-29 01:35:10,2457355.56609,19.78
2015-12-13 13:38:53,2457370.06867,19.75
2015-12-13 15:25:27,2457370.14267,19.75
2016-01-25 07:50:46,2457412.82692,19.79
2016-01-25 12:04:27,2457413.00309,19.76
2016-02-06 19:57:05,2457425.33131,19.69
2016-03-17 11:04:57,2457464.96177,19.7
2016-04-12 22:55:23,2457491.45513,19.67
2016-05-13 16:43:17,2457522.19672,19.76
2016-07-19 22:36:35,2457589.44207,19.8
2016-07-20 00:23:09,2457589.51608,19.69
2016-07-20 04:36:49,2457589.69223,19.54
2016-07-20 06:23:24,2457589.76625,19.67
2016-09-05 10:13:19,2457636.92591,19.76
2016-11-01 09:41:36,2457693.90389,19.71
2016-12-10 20:30:14,2457733.35433,19.7
2016-12-10 22:16:48,2457733.42833,19.66
2016-12-23 02:35:34,2457745.60803,19.72
2016-12-23 04:22:08,2457745.68204,19.75
2017-02-03 20:48:11,2457788.36679,19.71
2017-02-04 01:01:51,2457788.54295,19.59
2017-02-18 14:29:25,2457803.10376,19.7
2017-02-18 16:16:00,2457803.17778,19.66
2017-03-28 15:20:40,2457841.13935,19.57
2017-04-27 13:19:47,2457871.05541,19.65
2017-04-27 15:06:21,2457871.12941,19.62
2017-05-26 01:16:46,2457899.55331,19.74
2017-05-26 03:03:21,2457899.62733,19.66
2017-07-16 00:59:45,2457950.54149,19.71
2017-07-16 02:46:20,2457950.61551,19.74
2017-07-16 06:59:59,2457950.79166,19.77
2017-07-16 08:46:33,2457950.86566,19.73
2017-08-06 01:10:45,2457971.54913,19.69
2017-08-06 02:57:19,2457971.62314,19.7
2017-08-06 07:10:59,2457971.79929,19.69
2017-09-17 12:44:29,2458014.03089,19.65
2017-10-20 06:16:00,2458046.76111,19.71
2017-11-12 07:54:00,2458069.82917,19.72
2017-12-23 00:33:55,2458110.52355,19.62
2018-01-02 16:53:24,2458121.20375,19.59
2018-01-02 18:39:58,2458121.27775,19.7
2018-03-03 17:13:02,2458181.21738,19.72
2018-04-09 02:42:13,2458217.61265,19.64
2018-05-12 16:10:12,2458251.17375,19.66
2018-06-07 20:28:17,2458277.35297,19.7
2018-07-30 08:11:38,2458329.84141,19.71
2018-07-30 09:58:12,2458329.91542,19.66
2018-08-22 20:19:01,2458353.34654,19.66
2018-08-22 22:05:34,2458353.42053,19.74
2018-09-29 09:38:52,2458390.90199,19.68
2018-11-02 20:59:03,2458425.37434,19.63
2018-11-23 01:09:20,2458445.54815,19.67
2019-01-03 19:28:39,2458487.31156,19.68
2019-01-03 23:42:19,2458487.48772,19.58
2019-01-13 23:48:27,2458497.49198,19.66
2019-01-14 01:35:01,2458497.56598,19.7
2019-02-24 22:24:55,2458539.43397,19.66
2019-02-25 00:11:30,2458539.50799,19.61
2019-03-17 04:24:33,2458559.68372,19.68
2019-03-17 06:11:08,2458559.75773,19.61
2019-04-20 17:37:45,2458594.23455,19.67
2019-04-20 21:51:26,2458594.41072,19.65
2019-06-21 03:40:09,2458655.65288,19.7
2019-06-21 05:26:43,2458655.72689,19.69
2019-06-21 09:40:23,2458655.90304,19.69
2019-07-17 00:46:03,2458681.53198,19.64
2019-07-17 04:59:43,2458681.70814,19.67
2019-08-30 09:30:42,2458725.89632,19.53
2019-09-20 14:24:17,2458747.1002,19.5
2019-10-24 22:01:59,2458781.41804,19.6
2019-10-24 23:48:33,2458781.49205,19.6
2019-11-30 17:34:07,2458818.23203,19.58
2019-11-30 19:20:41,2458818.30603,19.53
2019-12-22 12:06:58,2458840.00484,19.51
2019-12-22 13:53:32,2458840.07884,19.58
2019-12-22 18:07:12,2458840.255,19.54
2019-12-22 19:53:46,2458840.329,19.54
2020-02-09 15:47:28,2458889.15796,19.61
2020-02-09 20:01:08,2458889.33412,19.41
2020-02-09 21:47:43,2458889.40814,19.58
2020-03-05 22:35:48,2458914.44153,19.62
2020-04-07 16:15:29,2458947.17742,19.61
2020-06-01 18:49:01,2459002.28404,19.61
2020-06-01 20:35:36,2459002.35806,19.57
2020-07-17 03:44:51,2459047.65615,19.6
2020-07-28 15:59:37,2459059.1664,19.6
2020-07-28 17:46:11,2459059.24041,19.62
2020-07-31 02:10:37,2459061.59071,19.58
2020-07-31 03:57:11,2459061.66471,19.57
2020-08-23 20:17:32,2459085.34551,19.64
2020-08-23 22:04:06,2459085.41951,19.55
2020-09-30 01:51:06,2459122.57715,19.58
2020-11-03 14:56:40,2459157.12269,19.54
2021-01-04 07:26:05,2459218.80978,19.61
2021-01-04 13:26:20,2459219.05995,19.59
2021-01-14 11:45:53,2459228.9902,19.47
2021-01-14 13:32:28,2459229.06421,19.62
2021-02-25 10:23:08,2459270.93273,19.59
2021-02-25 12:09:43,2459271.00675,19.54
2021-03-17 22:22:23,2459291.43221,19.62
2021-04-21 09:50:11,2459325.90985,19.61
2021-05-29 15:29:11,2459364.14527,19.66
2021-05-29 17:15:45,2459364.21927,19.52
2021-06-21 23:25:47,2459387.47624,19.63
2021-06-22 03:39:28,2459387.65241,19.6
2021-08-13 09:21:30,2459439.88993,19.66
2021-08-13 11:08:04,2459439.96394,19.72
2021-09-08 17:08:17,2459466.21409,19.81
2021-10-11 16:44:32,2459499.19759,19.71
2021-11-16 21:52:27,2459535.41142,19.8
2021-11-17 02:06:06,2459535.58757,19.76
2022-01-15 14:21:18,2459595.09813,19.72
2022-01-26 06:41:01,2459605.77848,19.64
2022-01-26 08:27:35,2459605.85249,19.64
2022-03-31 17:21:31,2459670.22328,19.16
2022-03-31 19:08:05,2459670.29728,19.17
2022-05-03 06:46:37,2459702.78237,18.88
2022-05-03 11:00:18,2459702.95854,18.84
2022-06-15 10:39:25,2459745.94404,18.55
2022-06-15 12:25:59,2459746.01804,18.54
2022-06-15 16:39:39,2459746.1942,18.58
2022-06-15 18:26:14,2459746.26822,18.56
2022-07-06 06:38:08,2459766.77648,18.45
2022-07-06 10:51:48,2459766.95264,18.41
2022-07-06 12:38:23,2459767.02666,18.45
2022-08-25 22:31:25,2459817.43848,18.42
2022-08-26 00:17:59,2459817.51249,18.42
2022-09-23 16:23:00,2459846.18264,18.47
2022-09-23 18:09:33,2459846.25663,18.46
2022-10-22 22:03:49,2459875.41932,18.5
2022-10-22 23:50:23,2459875.49332,18.48
