#Date,JD(TCB),averagemag
2015-01-16 17:14:21,2457039.2183,18.38
2015-02-10 09:20:13,2457063.88904,18.59
2015-02-10 11:06:48,2457063.96306,18.45
2015-07-06 18:55:35,2457210.2886,18.35
2015-08-30 16:46:01,2457265.19862,18.41
2015-08-30 18:32:35,2457265.27263,18.51
2016-02-20 10:26:28,2457438.93505,18.49
2017-12-01 04:30:59,2458088.68818,18.48
2018-01-20 20:31:15,2458139.35503,18.55
2018-06-15 12:13:45,2458285.00955,18.52
2019-01-02 09:56:38,2458485.91433,18.49
2019-01-31 09:40:48,2458514.90333,18.59
2019-08-04 15:26:38,2458700.1435,18.22
2020-01-20 11:24:34,2458868.97539,18.55
2020-01-20 13:11:08,2458869.0494,18.27
2020-02-16 14:17:55,2458896.09578,18.33
2020-06-20 12:13:37,2459021.00946,18.22
2020-07-19 11:29:28,2459049.9788,18.25
2020-07-19 13:16:01,2459050.05279,18.56
2020-12-11 03:53:04,2459194.66185,18.5
2021-01-03 05:41:10,2459217.73692,18.63
2021-06-26 11:30:03,2459391.9792,18.61
2021-07-22 19:04:26,2459418.29475,18.2
2021-08-20 11:04:16,2459446.9613,18.63
2021-08-20 12:50:50,2459447.0353,18.57
2022-01-17 16:54:21,2459597.20441,18.54
2022-01-17 18:40:56,2459597.27843,18.42
2022-07-07 12:36:24,2459768.02528,18.36
2022-07-07 14:22:57,2459768.09927,18.37
2022-08-07 06:14:59,2459798.76041,18.41
2022-08-07 08:01:33,2459798.83441,18.54
2022-08-31 12:13:36,2459823.00944,17.34
2022-08-31 14:00:09,2459823.08344,17.44
