#Date,JD(TCB),averagemag
2015-03-20 10:49:56,2457101.95134,11.3
2015-04-20 02:46:14,2457132.61544,11.46
2015-04-20 04:32:49,2457132.68946,11.39
2015-09-08 23:41:59,2457274.48749,11.52
2015-10-02 09:48:51,2457297.90892,11.6
2015-10-30 09:29:24,2457325.89542,11.62
2016-03-08 23:53:57,2457456.4958,11.74
2016-03-09 04:07:39,2457456.67198,11.78
2016-04-29 15:56:38,2457508.16433,11.75
2017-10-31 13:01:11,2458058.04249,11.76
2017-10-31 14:47:45,2458058.11649,11.75
2017-11-17 13:04:57,2458075.0451,11.78
2017-11-17 14:51:31,2458075.11911,11.77
2018-03-29 21:38:28,2458207.40171,11.68
2018-05-04 07:23:31,2458242.808,11.68
2018-05-04 09:10:06,2458242.88201,11.65
2018-05-18 07:32:33,2458256.81427,11.71
2018-05-18 09:19:08,2458256.88829,11.7
2018-05-18 13:32:49,2458257.06446,11.71
2018-08-23 15:19:33,2458354.13858,11.7
2018-08-23 21:19:46,2458354.38873,11.69
2018-08-23 23:06:19,2458354.46272,11.66
2018-08-31 05:11:25,2458361.71626,11.66
2018-08-31 09:25:03,2458361.8924,11.69
2018-08-31 11:11:37,2458361.9664,11.65
2018-08-31 15:25:16,2458362.14255,11.67
2018-10-09 14:41:15,2458401.11198,11.54
2018-10-09 16:27:49,2458401.18598,11.54
2018-11-18 03:47:13,2458440.65779,11.54
2018-11-18 08:00:52,2458440.83394,11.57
2018-11-18 09:47:26,2458440.90794,11.57
2018-11-18 14:01:04,2458441.08407,11.56
2018-11-18 15:47:38,2458441.15808,11.55
2018-11-18 20:01:17,2458441.33422,11.58
2018-11-22 14:04:14,2458445.08627,11.55
2018-11-22 20:04:26,2458445.33641,11.56
2018-11-22 21:51:00,2458445.41042,11.5
2018-11-23 03:51:12,2458445.66056,11.5
2018-11-23 08:04:51,2458445.8367,11.56
2018-11-23 09:51:25,2458445.91071,11.51
2019-02-20 17:08:32,2458535.21426,11.55
2019-02-20 21:22:13,2458535.39043,11.56
2019-03-04 21:31:13,2458547.39668,11.53
2019-03-04 23:17:48,2458547.47069,11.52
2019-04-09 16:50:06,2458583.20146,11.53
2019-08-25 14:38:21,2458721.10997,11.04
2019-08-25 16:24:55,2458721.18397,11.03
2019-08-25 22:25:07,2458721.43411,11.04
2019-09-07 22:40:25,2458734.44473,10.88
2019-09-08 02:54:04,2458734.62088,10.86
2019-09-08 04:40:38,2458734.69488,10.87
2020-02-26 21:24:23,2458906.39193,11.38
2020-02-27 01:38:04,2458906.5681,11.39
2020-03-15 08:08:49,2458923.83946,11.49
2020-04-16 21:42:21,2458956.40441,11.81
2020-08-23 09:16:55,2459084.88675,11.73
2020-08-23 11:03:29,2459084.96075,11.73
2020-08-23 15:17:08,2459085.1369,11.75
2020-08-23 17:03:42,2459085.2109,11.73
2020-09-01 17:09:36,2459094.215,11.71
2020-09-01 21:23:15,2459094.39115,11.7
2020-10-10 04:26:35,2459132.68513,11.63
2020-11-20 03:46:12,2459173.65708,11.63
2020-11-20 15:46:38,2459174.15738,11.63
2020-11-20 20:00:17,2459174.33353,11.62
2020-11-20 21:46:50,2459174.40752,11.63
2020-11-21 02:00:29,2459174.58367,11.6
2020-11-21 03:47:03,2459174.65767,11.58
2020-11-21 08:00:42,2459174.83382,11.61
2020-11-21 09:47:16,2459174.90782,11.58
2020-11-21 14:00:55,2459175.08397,11.63
2020-11-21 15:47:29,2459175.15797,11.57
2020-11-21 20:01:08,2459175.33412,11.62
2020-11-21 21:47:42,2459175.40813,11.63
2020-11-22 02:01:21,2459175.58427,11.62
2020-11-22 03:47:55,2459175.65828,11.61
2020-11-22 09:48:08,2459175.90843,11.61
2021-02-20 17:06:36,2459266.21292,11.39
2021-02-20 21:20:17,2459266.38909,11.39
2021-02-20 23:06:51,2459266.46309,11.38
2021-03-05 21:29:24,2459279.39542,11.41
2021-04-10 03:02:34,2459314.62678,11.24
2021-04-10 04:49:09,2459314.7008,11.24
2021-08-31 04:17:40,2459457.67894,11.27
2021-08-31 06:04:13,2459457.75293,11.26
2021-09-18 10:20:10,2459475.93067,11.25
2021-10-20 15:48:30,2459508.15868,11.31
2021-10-20 17:35:04,2459508.23269,11.31
2022-03-01 00:12:23,2459639.5086,11.47
2022-03-01 04:26:04,2459639.68477,11.48
2022-03-21 16:30:04,2459660.18755,11.32
2022-03-21 18:16:39,2459660.26156,11.3
2022-04-20 22:13:53,2459690.42631,10.84
2022-09-09 17:22:41,2459832.22409,10.16
2022-09-09 19:09:14,2459832.29808,10.15
2022-10-03 13:01:26,2459856.04266,10.24
